CPR_MARKETINGCARRIER,CPR_OTHERCARRIER,CPR_FLIGHTNUMBER,CPR_OPERSUFFIX,CPR_BOARDPOINT,CPR_OFFPOINT,CPR_INBOUNDSERVICE,CPR_DEPARTDATE1,CPR_DEPARTDATE2,CPR_DEPARTTIME1,CPR_DEPARTTIME2,CPR_ARRIVALDATE1,CPR_ARRIVALDATE2,ID_PRODUCTLEVEL,ID_CUSTOMERLEVEL,CPR_TRANSPORTQUAL,CPR_AIRLINEDESIG,CPR_FLIGHTNO,CPR_FLIGHTSUFFIX,CPR_CODESHARETYPE,CPR_OTHERCOMPANY,CPR_COMPANYID,CPR_ORIGIN,CPR_DESTINATION,CPR_FAREFAMILY,CPR_NUMBER,CPR_WEIGHT,CPR_UNITQUAL,CPR_COMPSTATUS,CPR_FARE_INDICATOR,CPR_FARE_ACTION,CPR_FARE_QUALIFIER,CPR_FARE_AMOUNT,CPR_FARE_CURRENCY,CPR_SPL_NUMBER,CPR_PRV_CPNNUMBER,CPR_COUPON_COMPANY,CPR_DATALENGTH,CPR_DATATYPE,CPR_BINARYDATA,DWH_SNAPSHOTTIMESTAMP,CPR_ARRIVALTIME1,CPR_ARRIVALTIME2,CPR_DEPARTDATE,CPR_ARRIVALDATE
MH,,140,,SYD,KUL,,,,,,,,155685253,54143187,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:29.167,,,2022-05-27,
MH,,2660,,KUL,TWU,,,,,,,,155685254,54143187,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:29.290,,,2022-05-28,
MH,,7424,,KUL,TWU,,,,,,,,155685255,54143187,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:29.417,,,2022-05-28,
MH,,2664,,KUL,TWU,,,,,,,,155685256,54143187,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32776E+12,2,MH,,,,29MAY2022:08:01:29.540,,,2022-05-28,
MH,,2664,,KUL,TWU,,,,,,,,155685257,54143187,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:29.713,,,2022-05-28,
MH,,606,,SIN,KUL,,,,,,,,155685258,54143188,,,,,,MH,1A,,,,,,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:29.900,,,2022-05-27,
MH,,2660,,KUL,TWU,,,,,,,,155685259,54143188,,,,,,MH,1A,,,,,,,NAU,,,,,,2.32246E+12,2,MH,,,,29MAY2022:08:01:30.053,,,2022-05-28,
MH,,2661,,TWU,KUL,,,,,,,,155685260,54143188,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:30.260,,,2022-06-01,
MH,,607,,KUL,SIN,,,,,,,,155685261,54143188,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:30.383,,,2022-06-01,
MH,,2660,,KUL,TWU,,,,,,,,155685262,54143189,,,,,,MH,1A,,,,,40,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:30.570,,,2022-05-28,
MH,,2660,,KUL,TWU,,,,,,,,155685263,54143190,,,,,,MH,1A,,,,,25,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:30.773,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685264,54143190,,,,,,MH,1A,,,,,25,,NAU,,,,,,2.32246E+12,2,MH,,,,29MAY2022:08:01:30.960,,,2022-05-29,
MH,,2660,,KUL,TWU,,,,,,,,155685265,54143191,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32691E+12,1,MH,,,,29MAY2022:08:01:31.197,,,2022-05-28,
MH,,7425,,TWU,KUL,,,,,,,,155685266,54143191,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:31.430,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685267,54143192,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32691E+12,1,MH,,,,29MAY2022:08:01:31.713,,,2022-05-28,
MH,,7425,,TWU,KUL,,,,,,,,155685268,54143192,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:31.917,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685269,54143193,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32691E+12,1,MH,,,,29MAY2022:08:01:32.150,,,2022-05-28,
MH,,7425,,TWU,KUL,,,,,,,,155685270,54143193,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:32.380,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685271,54143194,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32691E+12,1,MH,,,,29MAY2022:08:01:32.600,,,2022-05-28,
MH,,7425,,TWU,KUL,,,,,,,,155685272,54143194,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:32.803,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685273,54143195,,,,,,MH,1A,,,,,,,NAU,,,,,,,,,,,,29MAY2022:08:01:33.010,,,2022-05-28,
MH,,2660,,KUL,TWU,,,,,,,,155685274,54143196,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:33.190,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685275,54143196,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:33.350,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685276,54143197,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:33.520,,,2022-05-28,
MH,,2665,,TWU,KUL,,,,,,,,155685277,54143197,,,,,,MH,1A,,,,,20,,NAU,,,,,,,,,,,,29MAY2022:08:01:33.693,,,2022-05-31,
MH,,2660,,KUL,TWU,,,,,,,,155685278,54143198,,,,,,MH,1A,,,,,20,,NAU,,,,,,2.32246E+12,1,MH,,,,29MAY2022:08:01:33.867,,,2022-05-28,
