CPR_REFQUAL,CPR_PRIMEID,ID_PRODUPI,ID_PRODUCTLEVEL,DWH_SNAPSHOTTIMESTAMP
DID,3008C077005D56D4,189936232,155685127,29MAY2022:07:56:17.750
DID,3008C077005D56D5,189936233,155685128,29MAY2022:07:56:17.797
DID,3.00971E+15,189936234,155685129,29MAY2022:07:56:17.813
DID,3006C08A0071F60A,189936235,155685130,29MAY2022:07:56:17.860
DID,3009809700EF5665,189936236,155685131,29MAY2022:07:56:17.890
DID,3009309700EBBF02,189936237,155685132,29MAY2022:07:56:17.920
DID,3006C08A0071F60B,189936238,155685133,29MAY2022:07:56:17.937
DID,3005508E004430F5,189936239,155685134,29MAY2022:07:56:17.983
DID,3005508E004430F6,189936240,155685135,29MAY2022:07:56:18.017
DID,300680980164B503,189936241,155685136,29MAY2022:07:56:18.063
DID,300A406A00348D79,189936242,155685137,29MAY2022:07:56:18.110
DID,300A406A00348D7D,189936243,155685138,29MAY2022:07:56:18.140
DID,300A406A00348D7A,189936244,155685139,29MAY2022:07:56:18.170
DID,300A406A00348D7E,189936245,155685140,29MAY2022:07:56:18.233
DID,3009907B005DA696,189936246,155685141,29MAY2022:07:56:18.297
DID,3008C089003160C7,189936247,155685142,29MAY2022:07:56:18.327
DID,3009A07B005E426E,189936248,155685143,29MAY2022:07:56:18.360
DID,300E1084011398A7,189936249,155685144,29MAY2022:07:56:18.390
OID,300E1084011398A9,189936250,155685144,29MAY2022:07:56:18.390
DID,300E1084011398A9,189936251,155685145,29MAY2022:07:56:18.407
OID,300E1084011398AA,189936252,155685145,29MAY2022:07:56:18.407
DID,300E1084011398AA,189936253,155685146,29MAY2022:07:56:18.437
DID,300E1084011398AB,189936254,155685147,29MAY2022:07:56:18.483
DID,300E1084011398AD,189936255,155685148,29MAY2022:07:56:18.500
OID,300E1084011398AF,189936256,155685148,29MAY2022:07:56:18.500
DID,300E1084011398AF,189936257,155685149,29MAY2022:07:56:18.530
DID,3000008B00014E45,189936258,155685150,29MAY2022:07:56:18.563
DID,0140D94000BFA9A4,189936259,155685151,29MAY2022:07:56:18.610
DID,3002608E0020C8AB,189936260,155685152,29MAY2022:07:56:18.640
DID,3002608E0020C8AC,189936261,155685153,29MAY2022:07:56:18.657
DID,300590980159510E,189936262,155685154,29MAY2022:07:56:18.703
DID,300590980159510F,189936263,155685155,29MAY2022:07:56:18.733
DID,3.00591E+15,189936264,155685156,29MAY2022:07:56:18.780
DID,300A406A00348D78,189936265,155685157,29MAY2022:07:56:18.813
DID,300A406A00348D7C,189936266,155685158,29MAY2022:07:56:18.843
DID,300680980164B504,189936267,155685159,29MAY2022:07:56:18.883
DID,300680980164B505,189936268,155685160,29MAY2022:07:56:18.920
DID,3002707B00C9976E,189936269,155685161,29MAY2022:07:56:18.983
