CPR_OTHERSEVICETYPE,CPR_SEATNUMBER1,CPR_SEATCHAR1,CPR_SEATCHAR2,ID_LEGLEVEL_LEGROUTING,ID_PREFLIGHT_SEATINFO,CPR_SEATNUMBER2,DWH_SNAPSHOTTIMESTAMP
ASN,025C,,N,156351398,166177707,,29MAY2022:08:13:34.507
PRE,011C,,,156351399,166177708,,29MAY2022:08:13:34.740
ASN,011C,,N,156351399,166177709,,29MAY2022:08:13:34.740
PRE,009D,,,156351400,166177710,,29MAY2022:08:13:34.930
ASN,009D,,N,156351400,166177711,,29MAY2022:08:13:34.930
PRE,009E,,,156351401,166177712,,29MAY2022:08:13:35.133
ASN,009E,,N,156351401,166177713,,29MAY2022:08:13:35.133
PRE,015C,,,156351402,166177714,,29MAY2022:08:13:35.213
ASN,015C,,N,156351402,166177715,,29MAY2022:08:13:35.213
ASN,004D,,N,156351406,166177716,,29MAY2022:08:13:35.760
ASN,009F,,N,156351407,166177717,,29MAY2022:08:13:35.933
PRE,005B,,,156351411,166177718,,29MAY2022:08:13:36.560
ASN,005B,,N,156351411,166177719,,29MAY2022:08:13:36.560
PRE,005B,,,156351412,166177720,,29MAY2022:08:13:36.683
ASN,005B,,,156351412,166177721,,29MAY2022:08:13:36.683
ASN,020C,,N,156351413,166177722,,29MAY2022:08:13:36.917
PRE,002C,,,156351414,166177723,,29MAY2022:08:13:37.153
ASN,002C,,N,156351414,166177724,,29MAY2022:08:13:37.153
PRE,003A,,,156351415,166177725,,29MAY2022:08:13:37.373
ASN,003A,,N,156351415,166177726,,29MAY2022:08:13:37.373
PRE,002A,,,156351416,166177727,,29MAY2022:08:13:37.593
ASN,002A,,N,156351416,166177728,,29MAY2022:08:13:37.593
PRE,017A,,,156351417,166177729,,29MAY2022:08:13:37.780
ASN,017A,,N,156351417,166177730,,29MAY2022:08:13:37.780
PRE,011D,,,156351418,166177731,,29MAY2022:08:13:38.010
ASN,011D,,N,156351418,166177732,,29MAY2022:08:13:38.010
ASN,041H,,N,156351419,166177733,,29MAY2022:08:13:38.260
PRE,007C,,,156351420,166177734,,29MAY2022:08:13:38.463
ASN,007C,,N,156351420,166177735,,29MAY2022:08:13:38.463
PRE,007F,,,156351421,166177736,,29MAY2022:08:13:38.603
ASN,007F,,,156351421,166177737,,29MAY2022:08:13:38.603
ASN,011E,,N,156351424,166177738,,29MAY2022:08:13:39.010
PRE,011F,,,156351426,166177739,,29MAY2022:08:13:39.357
ASN,011F,,N,156351426,166177740,,29MAY2022:08:13:39.357
PRE,017F,,,156351428,166177741,,29MAY2022:08:13:39.653
ASN,017F,,N,156351428,166177742,,29MAY2022:08:13:39.653
ASN,019C,,N,156351430,166177743,,29MAY2022:08:13:39.920
ASN,020E,,N,156351431,166177744,,29MAY2022:08:13:40.090
ASN,018E,,N,156351432,166177745,,29MAY2022:08:13:40.247
ASN,010B,,N,156351434,166177746,,29MAY2022:08:13:40.497
ASN,009B,,N,156351435,166177747,,29MAY2022:08:13:40.653
ASN,020F,,N,156351436,166177748,,29MAY2022:08:13:40.830
ASN,018F,,N,156351437,166177749,,29MAY2022:08:13:40.960
ASN,010C,,N,156351439,166177750,,29MAY2022:08:13:41.220
ASN,009C,,N,156351440,166177751,,29MAY2022:08:13:41.390
PRE,,N,,156351442,166177752,,29MAY2022:08:13:41.750
ASN,008D,,N,156351442,166177753,,29MAY2022:08:13:41.750
ASN,005E,,N,156351443,166177754,,29MAY2022:08:13:41.970
PRE,005F,,,156351445,166177755,,29MAY2022:08:13:42.347
ASN,005F,,N,156351445,166177756,,29MAY2022:08:13:42.347
ASN,008C,,N,156351449,166177757,,29MAY2022:08:13:42.957
PRE,007F,,,156351450,166177758,,29MAY2022:08:13:43.143
ASN,007F,,N,156351450,166177759,,29MAY2022:08:13:43.143
PRE,007F,,,156351451,166177760,,29MAY2022:08:13:43.300
ASN,007F,,,156351451,166177761,,29MAY2022:08:13:43.300
PRE,007D,,,156351452,166177762,,29MAY2022:08:13:43.533
ASN,007D,,N,156351452,166177763,,29MAY2022:08:13:43.533
PRE,007D,,,156351453,166177764,,29MAY2022:08:13:43.677
ASN,007D,,,156351453,166177765,,29MAY2022:08:13:43.677
PRE,007E,,,156351454,166177766,,29MAY2022:08:13:43.863
ASN,007E,,N,156351454,166177767,,29MAY2022:08:13:43.863
PRE,007E,,,156351455,166177768,,29MAY2022:08:13:44.013
ASN,007E,,,156351455,166177769,,29MAY2022:08:13:44.013
PRE,017C,,,156351457,166177770,,29MAY2022:08:13:44.360
ASN,017C,,N,156351457,166177771,,29MAY2022:08:13:44.360
ASN,019A,,N,156351459,166177772,,29MAY2022:08:13:44.657
PRE,017D,,,156351460,166177773,,29MAY2022:08:13:44.847
ASN,017D,,N,156351460,166177774,,29MAY2022:08:13:44.847
ASN,018C,,N,156351462,166177775,,29MAY2022:08:13:45.237
PRE,017B,,,156351463,166177776,,29MAY2022:08:13:45.487
ASN,017B,,N,156351463,166177777,,29MAY2022:08:13:45.487
ASN,018B,,N,156351465,166177778,,29MAY2022:08:13:45.893
PRE,017A,,,156351466,166177779,,29MAY2022:08:13:46.143
ASN,017A,,N,156351466,166177780,,29MAY2022:08:13:46.143
ASN,018A,,N,156351468,166177781,,29MAY2022:08:13:46.503
PRE,017E,,,156351469,166177782,,29MAY2022:08:13:46.673
ASN,017E,,N,156351469,166177783,,29MAY2022:08:13:46.673
ASN,019B,,N,156351471,166177784,,29MAY2022:08:13:46.970
PRE,006D,,,156351472,166177785,,29MAY2022:08:13:47.157
ASN,006D,,N,156351472,166177786,,29MAY2022:08:13:47.157
ASN,008B,,N,156351474,166177787,,29MAY2022:08:13:47.530
PRE,017F,,,156351477,166177788,,29MAY2022:08:13:48.127
ASN,017F,,N,156351477,166177789,,29MAY2022:08:13:48.127
PRE,007B,,,156351478,166177790,,29MAY2022:08:13:48.360
ASN,007B,,N,156351478,166177791,,29MAY2022:08:13:48.360
PRE,007E,,,156351479,166177792,,29MAY2022:08:13:48.533
ASN,007E,,,156351479,166177793,,29MAY2022:08:13:48.533
PRE,025A,,,156351480,166177794,,29MAY2022:08:13:48.813
ASN,025A,,N,156351480,166177795,,29MAY2022:08:13:48.813
PRE,021F,,,156351481,166177796,,29MAY2022:08:13:49.017
ASN,021F,,N,156351481,166177797,,29MAY2022:08:13:49.017
ASN,019F,,N,156351484,166177798,,29MAY2022:08:13:49.600
PRE,005D,,,156351485,166177799,,29MAY2022:08:13:49.800
ASN,005D,,N,156351485,166177800,,29MAY2022:08:13:49.800
ASN,018F,,N,156351486,166177801,,29MAY2022:08:13:49.983
PRE,011B,,,156351490,166177802,,29MAY2022:08:13:50.657
ASN,011B,,N,156351490,166177803,,29MAY2022:08:13:50.657
PRE,006C,,,156351491,166177804,,29MAY2022:08:13:50.940
ASN,006C,,N,156351491,166177805,,29MAY2022:08:13:50.940
PRE,011A,,,156351492,166177806,,29MAY2022:08:13:51.127
ASN,011A,,N,156351492,166177807,,29MAY2022:08:13:51.127
PRE,015E,,,156351493,166177808,,29MAY2022:08:13:51.360
ASN,015E,,N,156351493,166177809,,29MAY2022:08:13:51.360
PRE,015D,,,156351494,166177810,,29MAY2022:08:13:51.563
ASN,015D,,N,156351494,166177811,,29MAY2022:08:13:51.563
PRE,022D,,,156351495,166177812,,29MAY2022:08:19:16.130
ASN,022D,,N,156351495,166177813,,29MAY2022:08:19:16.130
PRE,016C,,,156351496,166177814,,29MAY2022:08:19:16.147
ASN,016C,,N,156351496,166177815,,29MAY2022:08:19:16.147
ASN,017C,,N,156351497,166177816,,29MAY2022:08:19:16.177
ASN,008F,,N,156351498,166177817,,29MAY2022:08:19:16.193
ASN,029F,,N,156351499,166177818,,29MAY2022:08:19:16.223
ASN,008E,,N,156351500,166177819,,29MAY2022:08:19:16.240
ASN,029E,,N,156351501,166177820,,29MAY2022:08:19:16.257
ASN,008D,,N,156351502,166177821,,29MAY2022:08:19:16.287
PRE,007F,,,156351503,166177822,,29MAY2022:08:19:16.303
ASN,007F,,N,156351503,166177823,,29MAY2022:08:19:16.303
ASN,009F,,N,156351504,166177824,,29MAY2022:08:19:16.320
PRE,007E,,,156351505,166177825,,29MAY2022:08:19:16.350
ASN,007E,,N,156351505,166177826,,29MAY2022:08:19:16.350
PRE,006B,,,156351506,166177827,,29MAY2022:08:19:16.367
ASN,006B,,N,156351506,166177828,,29MAY2022:08:19:16.367
ASN,017F,,N,156351508,166177829,,29MAY2022:08:19:16.397
ASN,012F,EX,N,156351509,166177830,,29MAY2022:08:19:16.427
ASN,021F,,N,156351510,166177831,,29MAY2022:08:19:16.443
PRE,006A,,,156351511,166177832,,29MAY2022:08:19:16.460
ASN,006A,,N,156351511,166177833,,29MAY2022:08:19:16.460
ASN,017E,,N,156351513,166177834,,29MAY2022:08:19:16.490
ASN,012E,EX,N,156351514,166177835,,29MAY2022:08:19:16.520
ASN,021E,,N,156351515,166177836,,29MAY2022:08:19:16.537
PRE,007D,,,156351516,166177837,,29MAY2022:08:19:16.570
ASN,007D,,N,156351516,166177838,,29MAY2022:08:19:16.570
PRE,018C,,,156351517,166177839,,29MAY2022:08:19:16.583
ASN,018C,,N,156351517,166177840,,29MAY2022:08:19:16.583
PRE,010A,,,156351518,166177841,,29MAY2022:08:19:16.600
ASN,010A,,N,156351518,166177842,,29MAY2022:08:19:16.600
PRE,005F,,,156351520,166177843,,29MAY2022:08:19:16.677
ASN,005F,,N,156351520,166177844,,29MAY2022:08:19:16.677
PRE,011B,,,156351523,166177845,,29MAY2022:08:19:16.757
ASN,011B,,N,156351523,166177846,,29MAY2022:08:19:16.757
PRE,005E,,,156351525,166177847,,29MAY2022:08:19:16.787
ASN,005E,,N,156351525,166177848,,29MAY2022:08:19:16.787
PRE,021E,,,156351528,166177849,,29MAY2022:08:19:16.833
ASN,021E,,N,156351528,166177850,,29MAY2022:08:19:16.833
ASN,026F,,N,156351529,166177851,,29MAY2022:08:19:16.867
ASN,020A,,N,156351531,166177852,,29MAY2022:08:19:16.897
PRE,021F,,,156351542,166177853,,29MAY2022:08:19:17.083
ASN,021F,,N,156351542,166177854,,29MAY2022:08:19:17.083
ASN,024D,,N,156351543,166177855,,29MAY2022:08:19:17.100
PRE,021D,,,156351544,166177856,,29MAY2022:08:19:17.130
ASN,021D,,N,156351544,166177857,,29MAY2022:08:19:17.130
ASN,026E,,N,156351545,166177858,,29MAY2022:08:19:17.147
PRE,020D,,,156351546,166177859,,29MAY2022:08:19:17.177
ASN,020D,,N,156351546,166177860,,29MAY2022:08:19:17.177
ASN,026D,,N,156351547,166177861,,29MAY2022:08:19:17.193
PRE,022E,,,156351548,166177862,,29MAY2022:08:19:17.223
ASN,022E,,N,156351548,166177863,,29MAY2022:08:19:17.223
ASN,024C,,N,156351549,166177864,,29MAY2022:08:19:17.240
PRE,022F,,,156351550,166177865,,29MAY2022:08:19:17.270
ASN,022F,,N,156351550,166177866,,29MAY2022:08:19:17.270
PRE,016B,,,156351551,166177867,,29MAY2022:08:19:17.287
ASN,016B,,N,156351551,166177868,,29MAY2022:08:19:17.287
PRE,012A,,,156351552,166177869,,29MAY2022:08:19:17.320
ASN,012A,EX,N,156351552,166177870,,29MAY2022:08:19:17.320
PRE,012B,,,156351553,166177871,,29MAY2022:08:19:17.350
ASN,012B,EX,N,156351553,166177872,,29MAY2022:08:19:17.350
PRE,027D,,,156351554,166177873,,29MAY2022:08:19:17.380
ASN,027D,,N,156351554,166177874,,29MAY2022:08:19:17.380
PRE,023C,,,156351555,166177875,,29MAY2022:08:19:17.397
ASN,023C,,N,156351555,166177876,,29MAY2022:08:19:17.397
ASN,021C,,N,156351556,166177877,,29MAY2022:08:19:17.410
ASN,008E,,N,156351557,166177878,,29MAY2022:08:19:17.443
ASN,011D,,N,156351558,166177879,,29MAY2022:08:19:17.460
ASN,019E,,N,156351559,166177880,,29MAY2022:08:19:17.490
PRE,001C,,,156351561,166177881,,29MAY2022:08:19:17.537
ASN,001C,,N,156351561,166177882,,29MAY2022:08:19:17.537
PRE,001C,,,156351562,166177883,,29MAY2022:08:19:17.553
ASN,001C,,N,156351562,166177884,,29MAY2022:08:19:17.553
PRE,001F,,,156351563,166177885,,29MAY2022:08:19:17.583
ASN,001F,,N,156351563,166177886,,29MAY2022:08:19:17.583
PRE,001F,,,156351564,166177887,,29MAY2022:08:19:17.600
ASN,001F,,N,156351564,166177888,,29MAY2022:08:19:17.600
ASN,015D,,N,156351568,166177889,,29MAY2022:08:19:17.693
ASN,016D,,N,156351569,166177890,,29MAY2022:08:19:17.710
ASN,017D,,N,156351570,166177891,,29MAY2022:08:19:17.753
ASN,018A,,N,156351572,166177892,,29MAY2022:08:19:17.877
PRE,005E,,,156351573,166177893,,29MAY2022:08:19:17.893
ASN,005E,,N,156351573,166177894,,29MAY2022:08:19:17.893
PRE,007B,,,156351575,166177895,,29MAY2022:08:19:17.923
PRE,008E,,,156351576,166177896,,29MAY2022:08:19:17.940
PRE,007A,,,156351577,166177897,,29MAY2022:08:19:17.957
ASN,007A,,N,156351577,166177898,,29MAY2022:08:19:17.957
ASN,022B,,N,156351578,166177899,,29MAY2022:08:19:17.987
ASN,005A,,N,156351580,166177900,,29MAY2022:08:19:18.033
ASN,029C,,N,156351581,166177901,,29MAY2022:08:19:18.067
PRE,020F,,,156351582,166177902,,29MAY2022:08:19:18.097
ASN,020F,,N,156351582,166177903,,29MAY2022:08:19:18.097
PRE,006F,,,156351583,166177904,,29MAY2022:08:19:18.127
ASN,006F,,N,156351583,166177905,,29MAY2022:08:19:18.127
ASN,024A,,N,156351584,166177906,,29MAY2022:08:19:18.143
ASN,006B,,N,156351586,166177907,,29MAY2022:08:19:18.190
ASN,006C,,N,156351588,166177908,,29MAY2022:08:19:18.237
PRE,021A,,,156351591,166177909,,29MAY2022:08:19:18.283
ASN,021A,,N,156351591,166177910,,29MAY2022:08:19:18.283
PRE,021B,,,156351603,166177911,,29MAY2022:08:19:18.460
ASN,021B,,N,156351603,166177912,,29MAY2022:08:19:18.460
ASN,020B,,N,156351615,166177913,,29MAY2022:08:19:18.647
PRE,027E,,,156351626,166177914,,29MAY2022:08:19:18.833
ASN,027E,,N,156351626,166177915,,29MAY2022:08:19:18.833
ASN,026A,,N,156351627,166177916,,29MAY2022:08:19:18.867
ASN,020C,,N,156351629,166177917,,29MAY2022:08:19:18.913
ASN,022E,,N,156351630,166177918,,29MAY2022:08:19:18.943
ASN,023E,,N,156351631,166177919,,29MAY2022:08:19:18.977
PRE,012A,,,156351632,166177920,,29MAY2022:08:19:19.007
ASN,028D,,N,156351632,166177921,,29MAY2022:08:19:19.007
ASN,028E,,N,156351634,166177922,,29MAY2022:08:19:19.053
ASN,028F,,N,156351636,166177923,,29MAY2022:08:19:19.083
PRE,028C,,,156351638,166177924,,29MAY2022:08:19:19.130
ASN,028C,,N,156351638,166177925,,29MAY2022:08:19:19.130
PRE,028B,,,156351640,166177926,,29MAY2022:08:19:19.163
ASN,028B,,N,156351640,166177927,,29MAY2022:08:19:19.163
PRE,028A,,,156351642,166177928,,29MAY2022:08:19:19.227
ASN,028A,,N,156351642,166177929,,29MAY2022:08:19:19.227
ASN,008D,,N,156351644,166177930,,29MAY2022:08:19:19.287
PRE,018D,,,156351646,166177931,,29MAY2022:08:19:19.333
ASN,018D,,N,156351646,166177932,,29MAY2022:08:19:19.333
PRE,018B,,,156351647,166177933,,29MAY2022:08:19:19.350
ASN,018B,,N,156351647,166177934,,29MAY2022:08:19:19.350
PRE,019C,,,156351648,166177935,,29MAY2022:08:19:19.367
ASN,019C,,N,156351648,166177936,,29MAY2022:08:19:19.367
PRE,023C,,,156351649,166177937,,29MAY2022:08:19:19.413
ASN,023C,,N,156351649,166177938,,29MAY2022:08:19:19.413
ASN,017B,,N,156351650,166177939,,29MAY2022:08:19:19.430
PRE,018D,,,156351651,166177940,,29MAY2022:08:19:19.490
ASN,018D,,N,156351651,166177941,,29MAY2022:08:19:19.490
ASN,019E,,N,156351652,166177942,,29MAY2022:08:19:19.507
PRE,023B,,,156351653,166177943,,29MAY2022:08:19:19.583
ASN,023B,,N,156351653,166177944,,29MAY2022:08:19:19.583
PRE,017C,,,156351654,166177945,,29MAY2022:08:19:19.617
ASN,017C,,N,156351654,166177946,,29MAY2022:08:19:19.617
PRE,019C,,,156351655,166177947,,29MAY2022:08:19:19.630
ASN,019C,,N,156351655,166177948,,29MAY2022:08:19:19.630
PRE,018C,,,156351656,166177949,,29MAY2022:08:19:19.647
ASN,018C,,N,156351656,166177950,,29MAY2022:08:19:19.647
PRE,022C,,,156351657,166177951,,29MAY2022:08:19:19.680
ASN,022C,,N,156351657,166177952,,29MAY2022:08:19:19.680
PRE,018A,,,156351658,166177953,,29MAY2022:08:19:19.693
ASN,018A,,N,156351658,166177954,,29MAY2022:08:19:19.693
PRE,022A,,,156351659,166177955,,29MAY2022:08:19:19.727
ASN,022A,,N,156351659,166177956,,29MAY2022:08:19:19.727
PRE,019D,,,156351660,166177957,,29MAY2022:08:19:19.740
ASN,019D,,N,156351660,166177958,,29MAY2022:08:19:19.740
PRE,020A,,,156351661,166177959,,29MAY2022:08:19:19.757
ASN,020A,,N,156351661,166177960,,29MAY2022:08:19:19.757
ASN,019F,,N,156351662,166177961,,29MAY2022:08:19:19.787
PRE,023A,,,156351663,166177962,,29MAY2022:08:19:19.820
ASN,023A,,N,156351663,166177963,,29MAY2022:08:19:19.820
PRE,014B,,,156351664,166177964,,29MAY2022:08:19:19.850
ASN,014B,EX,N,156351664,166177965,,29MAY2022:08:19:19.850
ASN,005B,,N,156351665,166177966,,29MAY2022:08:19:19.880
ASN,021F,,N,156351666,166177967,,29MAY2022:08:19:19.913
ASN,015F,,N,156351667,166177968,,29MAY2022:08:19:19.977
ASN,010C,,N,156351668,166177969,,29MAY2022:08:19:20.007
PRE,019A,,,156351669,166177970,,29MAY2022:08:19:20.020
ASN,011D,,N,156351669,166177971,,29MAY2022:08:19:20.020
ASN,010B,,N,156351670,166177972,,29MAY2022:08:19:20.057
PRE,019B,,,156351671,166177973,,29MAY2022:08:19:20.087
ASN,010C,,N,156351671,166177974,,29MAY2022:08:19:20.087
ASN,010A,,N,156351672,166177975,,29MAY2022:08:19:20.117
PRE,021E,,,156351673,166177976,,29MAY2022:08:19:20.133
ASN,019B,,N,156351673,166177977,,29MAY2022:08:19:20.133
ASN,011C,,N,156351674,166177978,,29MAY2022:08:19:20.163
PRE,021F,,,156351675,166177979,,29MAY2022:08:19:20.180
ASN,018C,,N,156351675,166177980,,29MAY2022:08:19:20.180
ASN,011B,,N,156351676,166177981,,29MAY2022:08:19:20.210
PRE,026A,,,156351677,166177982,,29MAY2022:08:19:20.227
ASN,027B,,N,156351677,166177983,,29MAY2022:08:19:20.227
PRE,027C,,,156351678,166177984,,29MAY2022:08:19:20.260
ASN,027C,,N,156351678,166177985,,29MAY2022:08:19:20.260
PRE,022D,,,156351680,166177986,,29MAY2022:08:19:20.290
ASN,022D,,N,156351680,166177987,,29MAY2022:08:19:20.290
PRE,001D,,,156351681,166177988,,29MAY2022:08:19:20.320
ASN,001D,,N,156351681,166177989,,29MAY2022:08:19:20.320
PRE,001D,,,156351682,166177990,,29MAY2022:08:19:20.337
ASN,001D,,N,156351682,166177991,,29MAY2022:08:19:20.337
PRE,014A,,,156351683,166177992,,29MAY2022:08:19:20.367
ASN,014A,EX,N,156351683,166177993,,29MAY2022:08:19:20.367
ASN,015C,,N,156351684,166177994,,29MAY2022:08:19:20.383
ASN,011E,,N,156351685,166177995,,29MAY2022:08:19:20.413
ASN,015B,,N,156351686,166177996,,29MAY2022:08:19:20.430
ASN,012D,EX,N,156351687,166177997,,29MAY2022:08:19:20.460
ASN,015A,,N,156351688,166177998,,29MAY2022:08:19:20.477
ASN,012C,EX,N,156351689,166177999,,29MAY2022:08:19:20.523
PRE,027F,,,156351690,166178000,,29MAY2022:08:19:20.757
ASN,027F,,N,156351690,166178001,,29MAY2022:08:19:20.757
PRE,016A,,,156351691,166178002,,29MAY2022:08:19:21.007
ASN,016A,,N,156351691,166178003,,29MAY2022:08:19:21.007
ASN,029D,,N,156351692,166178004,,29MAY2022:08:19:21.193
ASN,019B,,N,156351693,166178005,,29MAY2022:08:19:21.257
PRE,020B,,,156351694,166178006,,29MAY2022:08:19:21.270
ASN,020B,,N,156351694,166178007,,29MAY2022:08:19:21.270
PRE,022F,,,156351695,166178008,,29MAY2022:08:19:21.303
ASN,022F,,N,156351695,166178009,,29MAY2022:08:19:21.303
PRE,023D,,,156351696,166178010,,29MAY2022:08:19:21.320
ASN,023D,,N,156351696,166178011,,29MAY2022:08:19:21.320
ASN,025B,,N,156351697,166178012,,29MAY2022:08:19:21.350
ASN,009E,,N,156351698,166178013,,29MAY2022:08:19:21.367
ASN,009F,,N,156351699,166178014,,29MAY2022:08:19:21.397
ASN,010E,,N,156351700,166178015,,29MAY2022:08:19:21.413
ASN,010F,,N,156351701,166178016,,29MAY2022:08:19:21.430
ASN,008F,,N,156351702,166178017,,29MAY2022:08:19:21.460
ASN,010D,,N,156351703,166178018,,29MAY2022:08:19:21.477
PRE,010A,,,156351704,166178019,,29MAY2022:08:19:21.507
ASN,010A,,N,156351704,166178020,,29MAY2022:08:19:21.507
PRE,007A,,,156351706,166178021,,29MAY2022:08:19:21.537
ASN,007A,,N,156351706,166178022,,29MAY2022:08:19:21.537
PRE,010B,,,156351707,166178023,,29MAY2022:08:19:21.570
ASN,010B,,N,156351707,166178024,,29MAY2022:08:19:21.570
PRE,007B,,,156351709,166178025,,29MAY2022:08:19:21.600
ASN,007B,,N,156351709,166178026,,29MAY2022:08:19:21.600
ASN,025C,,N,156351710,166178027,,29MAY2022:08:19:21.630
ASN,025A,,N,156351711,166178028,,29MAY2022:08:19:21.663
ASN,026C,,N,156351712,166178029,,29MAY2022:08:19:21.680
ASN,009D,,N,156351713,166178030,,29MAY2022:08:19:21.710
PRE,008C,,,156351716,166178031,,29MAY2022:08:19:21.773
ASN,008C,,N,156351716,166178032,,29MAY2022:08:19:21.773
PRE,008F,,,156351721,166178033,,29MAY2022:08:19:21.850
ASN,008F,,N,156351721,166178034,,29MAY2022:08:19:21.850
PRE,008A,,,156351722,166178035,,29MAY2022:08:19:21.900
ASN,008A,,N,156351722,166178036,,29MAY2022:08:19:21.900
PRE,008B,,,156351726,166178037,,29MAY2022:08:19:21.977
ASN,008B,,N,156351726,166178038,,29MAY2022:08:19:21.977
PRE,008D,,,156351731,166178039,,29MAY2022:08:19:22.087
ASN,008D,,N,156351731,166178040,,29MAY2022:08:19:22.087
PRE,016D,,,156351734,166178041,,29MAY2022:08:19:22.150
ASN,016D,,N,156351734,166178042,,29MAY2022:08:19:22.150
PRE,008C,,,156351735,166178043,,29MAY2022:08:19:22.163
ASN,008C,,N,156351735,166178044,,29MAY2022:08:19:22.163
PRE,,N,,156351736,166178045,,29MAY2022:08:19:22.197
ASN,016E,,N,156351736,166178046,,29MAY2022:08:19:22.197
PRE,008B,,,156351737,166178047,,29MAY2022:08:19:22.213
ASN,008B,,N,156351737,166178048,,29MAY2022:08:19:22.213
ASN,009C,,N,156351738,166178049,,29MAY2022:08:19:22.243
ASN,009A,,N,156351740,166178050,,29MAY2022:08:19:22.290
ASN,009B,,N,156351742,166178051,,29MAY2022:08:19:22.320
PRE,007C,,,156351744,166178052,,29MAY2022:08:19:22.370
ASN,007C,,N,156351744,166178053,,29MAY2022:08:19:22.370
ASN,024F,,N,156351756,166178054,,29MAY2022:08:19:22.570
ASN,029B,,N,156351757,166178055,,29MAY2022:08:19:22.603
ASN,024E,,N,156351758,166178056,,29MAY2022:08:19:22.633
PRE,025F,,,156351759,166178057,,29MAY2022:08:19:22.650
ASN,025F,,N,156351759,166178058,,29MAY2022:08:19:22.650
PRE,006D,,,156351760,166178059,,29MAY2022:08:19:22.680
ASN,006D,,N,156351760,166178060,,29MAY2022:08:19:22.680
ASN,017B,,N,156351761,166178061,,29MAY2022:08:19:22.713
ASN,015B,,N,156351762,166178062,,29MAY2022:08:19:22.743
ASN,006A,,N,156351765,166178063,,29MAY2022:08:19:22.790
PRE,023F,,,156351766,166178064,,29MAY2022:08:19:22.820
ASN,023F,,N,156351766,166178065,,29MAY2022:08:19:22.820
PRE,011F,,,156351767,166178066,,29MAY2022:08:19:22.837
ASN,011F,,N,156351767,166178067,,29MAY2022:08:19:22.837
ASN,017A,,N,156351768,166178068,,29MAY2022:08:19:22.870
PRE,023F,,,156351769,166178069,,29MAY2022:08:19:22.883
ASN,023F,,N,156351769,166178070,,29MAY2022:08:19:22.883
PRE,019F,,,156351770,166178071,,29MAY2022:08:19:22.930
ASN,019F,,N,156351770,166178072,,29MAY2022:08:19:22.930
PRE,004A,,,156351771,166178073,,29MAY2022:08:19:22.963
ASN,004A,,N,156351771,166178074,,29MAY2022:08:19:22.963
PRE,004D,,,156351772,166178075,,29MAY2022:08:19:22.993
ASN,004D,,N,156351772,166178076,,29MAY2022:08:19:22.993
PRE,004C,,,156351773,166178077,,29MAY2022:08:19:23.027
ASN,004C,,N,156351773,166178078,,29MAY2022:08:19:23.027
PRE,004F,,,156351774,166178079,,29MAY2022:08:19:23.040
ASN,004F,,N,156351774,166178080,,29MAY2022:08:19:23.040
ASN,005D,,N,156351775,166178081,,29MAY2022:08:19:23.087
ASN,016F,,N,156351783,166178082,,29MAY2022:08:19:23.243
PRE,015E,,,156351784,166178083,,29MAY2022:08:19:23.277
ASN,015E,,N,156351784,166178084,,29MAY2022:08:19:23.277
PRE,016E,,,156351785,166178085,,29MAY2022:08:19:23.307
ASN,016E,,N,156351785,166178086,,29MAY2022:08:19:23.307
ASN,014F,EX,N,156351788,166178087,,29MAY2022:08:19:23.370
ASN,014E,EX,N,156351789,166178088,,29MAY2022:08:19:23.400
ASN,026B,,N,156351796,166178089,,29MAY2022:08:19:23.527
PRE,008A,,,156351797,166178090,,29MAY2022:08:19:23.540
ASN,008A,,N,156351797,166178091,,29MAY2022:08:19:23.540
PRE,006C,,,156351798,166178092,,29MAY2022:08:19:23.573
ASN,006C,,N,156351798,166178093,,29MAY2022:08:19:23.573
ASN,023D,,N,156351799,166178094,,29MAY2022:08:19:23.603
ASN,023E,,N,156351802,166178095,,29MAY2022:08:19:23.667
ASN,019A,,N,156351805,166178096,,29MAY2022:08:19:23.730
PRE,,N,,156351806,166178097,,29MAY2022:08:19:23.757
ASN,017F,,N,156351806,166178098,,29MAY2022:08:19:23.757
PRE,018E,,,156351807,166178099,,29MAY2022:08:19:23.777
ASN,018E,,N,156351807,166178100,,29MAY2022:08:19:23.777
PRE,,N,,156351808,166178101,,29MAY2022:08:19:23.807
ASN,017D,,N,156351808,166178102,,29MAY2022:08:19:23.807
PRE,005C,,,156351809,166178103,,29MAY2022:08:19:23.823
ASN,005C,,N,156351809,166178104,,29MAY2022:08:19:23.823
PRE,,N,,156351810,166178105,,29MAY2022:08:19:23.837
ASN,017E,,N,156351810,166178106,,29MAY2022:08:19:23.837
PRE,018F,,,156351811,166178107,,29MAY2022:08:19:23.870
ASN,018F,,N,156351811,166178108,,29MAY2022:08:19:23.870
ASN,024B,,N,156351812,166178109,,29MAY2022:08:19:23.883
PRE,029A,,,156351814,166178110,,29MAY2022:08:19:23.963
ASN,029A,,N,156351814,166178111,,29MAY2022:08:19:23.963
ASN,006E,,N,156351815,166178112,,29MAY2022:08:19:23.980
ASN,009D,,N,156351816,166178113,,29MAY2022:08:19:24.010
ASN,025D,,N,156351817,166178114,,29MAY2022:08:19:24.027
ASN,009E,,N,156351818,166178115,,29MAY2022:08:19:24.073
ASN,025E,,N,156351819,166178116,,29MAY2022:08:19:24.087
ASN,020E,,N,156351831,166178117,,29MAY2022:08:19:24.290
