CPR_OTHERSEVICETYPE,CPR_SEATNUMBER1,CPR_SEATCHAR1,CPR_SEATCHAR2,ID_LEGLEVEL_LEGROUTING,ID_PREFLIGHT_SEATINFO,CPR_SEATNUMBER2,DWH_SNAPSHOTTIMESTAMP
ASN,001A,,N,156346379,166173131,,29MAY2022:06:58:31.343
PRE,001A,,,156346381,166173132,,29MAY2022:06:58:31.687
ASN,001A,,N,156346381,166173133,,29MAY2022:06:58:31.687
PRE,009B,,,156346386,166173134,,29MAY2022:06:58:32.267
ASN,009B,,N,156346386,166173135,,29MAY2022:06:58:32.267
PRE,006B,,,156346387,166173136,,29MAY2022:06:58:32.377
ASN,006B,,N,156346387,166173137,,29MAY2022:06:58:32.377
PRE,009C,,,156346398,166173138,,29MAY2022:06:58:33.763
ASN,009C,,N,156346398,166173139,,29MAY2022:06:58:33.763
PRE,006C,,,156346399,166173140,,29MAY2022:06:58:33.950
ASN,006C,,N,156346399,166173141,,29MAY2022:06:58:33.950
ASN,008A,,N,156346400,166173142,,29MAY2022:06:58:34.043
PRE,004D,,,156346405,166173143,,29MAY2022:06:58:34.623
PRE,020A,,,156346406,166173144,,29MAY2022:06:58:34.717
PRE,017D,,,156346407,166173145,,29MAY2022:06:58:34.793
PRE,010A,,,156346414,166173146,,29MAY2022:06:58:35.610
ASN,010A,,N,156346414,166173147,,29MAY2022:06:58:35.610
PRE,019A,,,156346415,166173148,,29MAY2022:06:58:35.780
ASN,019A,,N,156346415,166173149,,29MAY2022:06:58:35.780
ASN,015F,,N,156346416,166173150,,29MAY2022:06:58:35.937
PRE,004A,,,156346421,166173151,,29MAY2022:06:58:36.547
PRE,020B,,,156346422,166173152,,29MAY2022:06:58:36.667
PRE,017E,,,156346423,166173153,,29MAY2022:06:58:36.793
ASN,010C,,N,156346430,166173154,,29MAY2022:06:58:37.573
ASN,019B,,N,156346431,166173155,,29MAY2022:06:58:37.747
ASN,015E,,N,156346432,166173156,,29MAY2022:06:58:37.853
PRE,004C,,,156346437,166173157,,29MAY2022:06:58:38.450
PRE,020C,,,156346438,166173158,,29MAY2022:06:58:38.560
PRE,017F,,,156346439,166173159,,29MAY2022:06:58:38.670
PRE,010D,,,156346446,166173160,,29MAY2022:06:58:39.420
ASN,010D,,N,156346446,166173161,,29MAY2022:06:58:39.420
ASN,019C,,N,156346447,166173162,,29MAY2022:06:58:39.560
ASN,015D,,N,156346448,166173163,,29MAY2022:06:58:39.713
PRE,024D,,,156346453,166173164,,29MAY2022:06:58:40.273
ASN,024D,,N,156346453,166173165,,29MAY2022:06:58:40.273
PRE,024B,,,156346455,166173166,,29MAY2022:06:58:40.553
ASN,024B,,N,156346455,166173167,,29MAY2022:06:58:40.553
PRE,024A,,,156346457,166173168,,29MAY2022:06:58:40.773
ASN,024A,,N,156346457,166173169,,29MAY2022:06:58:40.773
PRE,008C,,,156346463,166173170,,29MAY2022:06:58:41.557
ASN,008C,,N,156346463,166173171,,29MAY2022:06:58:41.557
PRE,008C,,,156346464,166173172,,29MAY2022:06:58:41.727
ASN,008C,,N,156346464,166173173,,29MAY2022:06:58:41.727
PRE,008B,,,156346465,166173174,,29MAY2022:06:58:41.963
ASN,008B,,N,156346465,166173175,,29MAY2022:06:58:41.963
PRE,008B,,,156346466,166173176,,29MAY2022:06:58:42.150
ASN,008B,,N,156346466,166173177,,29MAY2022:06:58:42.150
PRE,008A,,,156346467,166173178,,29MAY2022:06:58:42.383
ASN,008A,,N,156346467,166173179,,29MAY2022:06:58:42.383
PRE,008A,,,156346468,166173180,,29MAY2022:06:58:42.570
ASN,008A,,N,156346468,166173181,,29MAY2022:06:58:42.570
PRE,001C,,,156346469,166173182,,29MAY2022:06:58:42.757
ASN,001C,,N,156346469,166173183,,29MAY2022:06:58:42.757
PRE,001C,,,156346471,166173184,,29MAY2022:06:58:43.040
ASN,001C,,N,156346471,166173185,,29MAY2022:06:58:43.040
ASN,020E,,N,156346472,166173186,,29MAY2022:06:58:43.290
PRE,018F,,,156346475,166173187,,29MAY2022:06:58:43.713
ASN,018F,,N,156346475,166173188,,29MAY2022:06:58:43.713
PRE,,N,,156346476,166173189,,29MAY2022:06:58:43.790
ASN,005F,,N,156346476,166173190,,29MAY2022:06:58:43.790
PRE,006C,,,156346490,166173191,,29MAY2022:06:58:46.217
ASN,006C,,N,156346490,166173192,,29MAY2022:06:58:46.217
PRE,007D,,,156346491,166173193,,29MAY2022:06:58:46.403
ASN,007D,,N,156346491,166173194,,29MAY2022:06:58:46.403
PRE,006A,,,156346498,166173195,,29MAY2022:06:58:46.907
ASN,006A,,N,156346498,166173196,,29MAY2022:06:58:46.907
PRE,007F,,,156346499,166173197,,29MAY2022:06:58:47.093
ASN,007F,,N,156346499,166173198,,29MAY2022:06:58:47.093
PRE,006F,,,156346506,166173199,,29MAY2022:06:58:48.017
ASN,006F,,N,156346506,166173200,,29MAY2022:06:58:48.017
PRE,008F,,,156346507,166173201,,29MAY2022:06:58:48.170
ASN,008F,,N,156346507,166173202,,29MAY2022:06:58:48.187
PRE,006B,,,156346514,166173203,,29MAY2022:06:58:49.323
ASN,006B,,N,156346514,166173204,,29MAY2022:06:58:49.323
PRE,007E,,,156346515,166173205,,29MAY2022:06:58:49.497
ASN,007E,,N,156346515,166173206,,29MAY2022:06:58:49.497
PRE,022B,,,156346521,166173207,,29MAY2022:06:58:50.293
ASN,022B,,N,156346521,166173208,,29MAY2022:06:58:50.293
PRE,019C,,,156346522,166173209,,29MAY2022:06:58:50.467
ASN,019C,,N,156346522,166173210,,29MAY2022:06:58:50.467
PRE,005F,,,156346523,166173211,,29MAY2022:06:58:50.573
ASN,005F,,,156346523,166173212,,29MAY2022:06:58:50.573
PRE,005A,,,156346524,166173213,,29MAY2022:06:58:50.717
ASN,005A,,,156346524,166173214,,29MAY2022:06:58:50.717
ASN,014B,EX,N,156346525,166173215,,29MAY2022:06:58:50.870
ASN,021F,,N,156346526,166173216,,29MAY2022:06:58:51.027
PRE,006E,,,156346527,166173217,,29MAY2022:06:58:51.170
ASN,006E,,N,156346527,166173218,,29MAY2022:06:58:51.170
ASN,021E,,N,156346528,166173219,,29MAY2022:06:58:51.280
