ID_TICKETS,CPR_DOCUMENTNO,CPR_DOCUMENTTYPE,CPR_STATUS,CPR_ITEMNO,CPR_CPNNO,CPR_SUBQUALIFIER,CPR_LANGUAGE,CPR_SOURCE,CPR_ENCODING,CPR_FREETEXT,CPR_MARKETINGCOMP,ID_PRODUCTLEVEL,CPR_DOCUMENTNO1,CPR_DOCUMENTTYPE1,CPR_STATUS1,DWH_SNAPSHOTTIMESTAMP
61351466,2.32398E+12,E,ASS,,1,,,,,,,155686612,2.32398E+12,E,ASS,29MAY2022:08:19:24.290
61351467,2.32398E+12,E,ASS,,1,,,,,,,155686613,2.32398E+12,E,ASS,29MAY2022:08:19:24.323
61351468,2.32952E+12,E,ASS,,1,,,,,,,155686614,2.32952E+12,E,ASS,29MAY2022:08:19:24.337
61351469,2.32952E+12,E,ASS,,2,,,,,,,155686615,2.32952E+12,E,ASS,29MAY2022:08:19:24.353
61351470,2.32952E+12,E,ASS,,1,,,,,,,155686618,2.32952E+12,E,ASS,29MAY2022:08:19:24.400
61351471,2.32952E+12,E,ASS,,2,,,,,,,155686619,2.32952E+12,E,ASS,29MAY2022:08:19:24.430
61351472,2.32952E+12,E,ASS,,1,,,,,,,155686622,2.32952E+12,E,ASS,29MAY2022:08:19:24.493
61351473,2.32952E+12,E,ASS,,2,,,,,,,155686623,2.32952E+12,E,ASS,29MAY2022:08:19:24.510
61351474,2.32952E+12,E,ASS,,1,,,,,,,155686626,2.32952E+12,E,ASS,29MAY2022:08:19:24.573
61351475,2.32952E+12,E,ASS,,2,,,,,,,155686627,2.32952E+12,E,ASS,29MAY2022:08:19:24.587
61351476,2.32246E+12,E,ASS,,1,,,,,,,155686636,2.32246E+12,E,ASS,29MAY2022:08:19:24.730
61351477,2.32246E+12,E,ASS,,1,,,,,,,155686640,2.32246E+12,E,ASS,29MAY2022:08:19:24.810
61351478,2.32246E+12,E,ASS,,2,,,,,,,155686643,2.32246E+12,E,ASS,29MAY2022:08:19:24.860
61351479,2.32246E+12,E,ASS,,1,,,,,,,155686644,2.32246E+12,E,ASS,29MAY2022:08:19:24.890
61351480,2.32398E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686646,2.32398E+12,E,ASS,29MAY2022:08:19:25.203
61351481,2.32398E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686648,2.32398E+12,E,ASS,29MAY2022:08:19:25.250
61351482,2.32398E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686650,2.32398E+12,E,ASS,29MAY2022:08:19:25.297
