ID_BAG_ITIN,CPR_MARKTNG_CARRIER,CPR_FLGHT_NUMBER,CPR_OPT_SUFX,CPR_DEPT_DATE,CPR_BRDPT,CPR_OFFPT,CPR_ARRVDATE,CPR_BAGSTAT_INDC1,CPR_BAGSTAT_INDC2,CPR_BAGSTAT_ACTN1,CPR_BAGSTAT_ACTN2,ID_BAGGAGE_INFO,DWH_SNAPSHOTTIMESTAMP
43446203,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816509,29MAY2022:07:22:06.423
43446204,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816510,29MAY2022:07:22:06.423
43446205,MH,2634,,20-May-22,KUL,LBU,,,,,,30816511,29MAY2022:07:22:06.423
43446206,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816512,29MAY2022:07:22:06.423
43446207,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816513,29MAY2022:07:22:06.440
43446208,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816514,29MAY2022:07:22:06.440
43446209,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816515,29MAY2022:07:22:06.440
43446210,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816516,29MAY2022:07:22:06.440
43446211,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816517,29MAY2022:07:22:06.440
43446212,MH,2634,,25-May-22,KUL,LBU,,,,,,30816518,29MAY2022:07:22:06.440
43446213,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816519,29MAY2022:07:22:06.457
43446214,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816520,29MAY2022:07:22:06.457
43446215,MH,2608,,23-May-22,KUL,LBU,,,,,,30816521,29MAY2022:07:22:06.457
43446216,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816522,29MAY2022:07:22:06.457
43446217,MH,2608,,25-May-22,KUL,LBU,,,,,,30816523,29MAY2022:07:22:06.457
43446218,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816524,29MAY2022:07:22:06.457
43446219,MH,2634,,24-May-22,KUL,LBU,,,,,,30816525,29MAY2022:07:22:06.470
43446220,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816526,29MAY2022:07:22:06.470
43446221,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816527,29MAY2022:07:22:06.470
43446222,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816528,29MAY2022:07:22:06.470
43446223,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816529,29MAY2022:07:22:06.470
43446224,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816530,29MAY2022:07:22:06.470
43446225,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816531,29MAY2022:07:22:06.487
43446226,MH,2634,,25-May-22,KUL,LBU,,,,,,30816532,29MAY2022:07:22:06.487
43446227,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816533,29MAY2022:07:22:06.487
43446228,MH,2608,,26-May-22,KUL,LBU,,,,,,30816534,29MAY2022:07:22:06.487
43446229,MH,2634,,26-May-22,KUL,LBU,,,,,,30816535,29MAY2022:07:22:06.487
43446230,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816536,29MAY2022:07:22:06.487
43446231,MH,2634,,26-May-22,KUL,LBU,,,,,,30816537,29MAY2022:07:22:06.487
43446232,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816538,29MAY2022:07:22:06.503
43446233,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816539,29MAY2022:07:22:06.503
43446234,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816540,29MAY2022:07:22:06.503
43446235,MH,2634,,23-May-22,KUL,LBU,,,,,,30816541,29MAY2022:07:22:06.503
43446236,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816542,29MAY2022:07:22:06.503
43446237,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816543,29MAY2022:07:22:06.503
43446238,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816544,29MAY2022:07:22:06.517
43446239,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816545,29MAY2022:07:22:06.517
43446240,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816546,29MAY2022:07:22:06.517
43446241,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816547,29MAY2022:07:22:06.517
43446242,MH,2608,,24-May-22,KUL,LBU,,,,,,30816548,29MAY2022:07:22:06.517
43446243,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816549,29MAY2022:07:22:06.517
43446244,MH,2608,,24-May-22,KUL,LBU,,,,,,30816550,29MAY2022:07:22:06.533
43446245,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816551,29MAY2022:07:22:06.533
43446246,MH,2608,,24-May-22,KUL,LBU,,,,,,30816552,29MAY2022:07:22:06.533
43446247,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816553,29MAY2022:07:22:06.533
43446248,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816554,29MAY2022:07:22:06.533
43446249,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816555,29MAY2022:07:22:06.533
43446250,MH,199,,24-May-22,HYD,KUL,,,,,,30816556,29MAY2022:07:22:06.533
43446251,MH,2634,,24-May-22,KUL,LBU,,,,,,30816556,29MAY2022:07:22:06.533
43446252,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816557,29MAY2022:07:22:06.550
43446253,MH,2608,,23-May-22,KUL,LBU,,,,,,30816558,29MAY2022:07:22:06.550
43446254,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816559,29MAY2022:07:22:06.550
43446255,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816560,29MAY2022:07:22:06.550
43446256,MH,2608,,23-May-22,KUL,LBU,,,,,,30816561,29MAY2022:07:22:06.550
43446257,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816562,29MAY2022:07:22:06.550
43446258,MH,2608,,23-May-22,KUL,LBU,,,,,,30816563,29MAY2022:07:22:06.563
43446259,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816564,29MAY2022:07:22:06.563
43446260,MH,2634,,25-May-22,KUL,LBU,,,,,,30816565,29MAY2022:07:22:06.563
43446261,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816566,29MAY2022:07:22:06.563
43446262,MH,2608,,24-May-22,KUL,LBU,,,,,,30816567,29MAY2022:07:22:06.563
43446263,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816568,29MAY2022:07:22:06.563
43446264,MH,2608,,24-May-22,KUL,LBU,,,,,,30816569,29MAY2022:07:22:06.580
43446265,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816570,29MAY2022:07:22:06.580
43446266,MH,2608,,23-May-22,KUL,LBU,,,,,,30816571,29MAY2022:07:22:06.580
43446267,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816572,29MAY2022:07:22:06.580
43446268,MH,2608,,24-May-22,KUL,LBU,,,,,,30816573,29MAY2022:07:22:06.580
43446269,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816574,29MAY2022:07:22:06.580
43446270,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816575,29MAY2022:07:22:06.580
43446271,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816576,29MAY2022:07:22:06.597
43446272,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816577,29MAY2022:07:22:06.597
43446273,MH,2608,,22-May-22,KUL,LBU,,,,,,30816578,29MAY2022:07:22:06.597
43446274,MH,2608,,22-May-22,KUL,LBU,,,,,,30816579,29MAY2022:07:22:06.597
43446275,MH,2635,D,28-May-22,LBU,KUL,,,,,,30816580,29MAY2022:07:22:06.597
43446276,MH,2638,,28-May-22,KUL,BKI,,,,,,30816581,29MAY2022:07:34:31.587
43446277,MH,2638,,28-May-22,KUL,BKI,,,,,,30816582,29MAY2022:07:34:31.587
43446278,MH,2614,,28-May-22,KUL,BKI,,,,,,30816583,29MAY2022:07:34:31.587
43446279,MH,2638,,28-May-22,KUL,BKI,,,,,,30816584,29MAY2022:07:34:31.600
43446280,MH,2616,,28-May-22,KUL,BKI,,,,,,30816585,29MAY2022:07:34:31.600
43446281,MH,2610,,28-May-22,KUL,BKI,,,,,,30816586,29MAY2022:07:34:31.600
43446282,MH,2638,,28-May-22,KUL,BKI,,,,,,30816587,29MAY2022:07:34:31.600
43446283,MH,2637,,26-May-22,BKI,KUL,,,,,,30816588,29MAY2022:07:34:31.600
43446284,MH,2638,,28-May-22,KUL,BKI,,,,,,30816589,29MAY2022:07:34:31.600
43446285,MH,2638,,28-May-22,KUL,BKI,,,,,,30816590,29MAY2022:07:34:31.617
43446286,MH,161,,28-May-22,DOH,KUL,,,,,,30816591,29MAY2022:07:34:31.617
43446287,MH,2638,,28-May-22,KUL,BKI,,,,,,30816591,29MAY2022:07:34:31.617
43446288,MH,2638,,28-May-22,KUL,BKI,,,,,,30816592,29MAY2022:07:34:31.617
43446289,MH,2743,,28-May-22,BTU,KUL,,,,,,30816593,29MAY2022:07:34:31.617
43446290,MH,2638,,28-May-22,KUL,BKI,,,,,,30816593,29MAY2022:07:34:31.617
43446291,MH,2638,,28-May-22,KUL,BKI,,,,,,30816594,29MAY2022:07:34:31.617
43446292,MH,2637,,24-May-22,BKI,KUL,,,,,,30816595,29MAY2022:07:34:31.617
43446293,MH,1436,,24-May-22,KUL,LGK,,,,,,30816595,29MAY2022:07:34:31.617
43446294,MH,1437,,27-May-22,LGK,KUL,,,,,,30816596,29MAY2022:07:34:31.633
43446295,MH,2639,,22-May-22,BKI,KUL,,,,,,30816597,29MAY2022:07:34:31.633
