CPR_ORIGIN,CPR_DESTINATION,ID_LEGLEVEL_LEGROUTING,CPR_IDENTITERMINAL,CPR_LOCIDENTERMINAL,CPR_TRANSSTAGEQUALIFIER,CPR_AIRLINEDESIGNATOR,CPR_FLIGHTNUMBER,CPR_OPERSUFFIX,CPR_UNIQUEREFERENCE,CPR_ATTRIBUTETYPE,CPR_ATTRIDESCRIPTION,CPR_CLASSDESIGNATOR,CPR_TYPE1,CPR_TYPE2,CPR_VALUE1,CPR_VALUE2,CPR_TEXTSUBQUALIFIER,CPR_CODEDLANGUAGE,CPR_CODEDSOURCE,CPR_ENCODING,CPR_TEXTFREETEXT,CPR_ACTIONREQCODE,CPR_TEXTSEMANTIC,CPR_TEXTLANGUAGE,CPR_TEXTSOURCE,CPR_TEXTENCODING,CPR_FREETEXT,CPR_CLSOFSERVICE,ID_PRODUCTLEVEL,CPR_COACHNUMBER,CPR_TEXTSUBQUALIFIER1,CPR_INFORMATIONTYPE1,CPR_CODEDLANGUAGE1,CPR_CODEDSOURCE1,CPR_ENCODING1,CPR_FREETEXT1,CPR_CODEDINDICATOR,CPR_CODEDACTION,CPR_CODEDSTATUSREASON,CPR_SEATNUMBER,DWH_SNAPSHOTTIMESTAMP
TWU,KUL,156351096,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685877,,,,,,,,PPD,0,,,29MAY2022:08:09:33.267
TWU,KUL,156351097,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685878,,,,,,,,PPD,0,,,29MAY2022:08:09:33.280
KUL,TWU,156351098,,,,,,,,,,,,,,,,,,,,,,,,,,,155685879,,,,,,,,PPD,0,,,29MAY2022:08:09:33.297
TWU,KUL,156351099,,M,,,,,,,,,4,,TWU-026,,,,,,,,,,,,,,155685880,,,,,,,,PPD,0,,,29MAY2022:08:09:33.330
KUL,PEN,156351100,M,,,,,,,,,,4,,KUL-020,,,,,,,,,,,,,,155685881,,,,,,,,PPD,0,,,29MAY2022:08:09:33.360
TWU,KUL,156351101,,M,,,,,,,,,4,,TWU-038,,3,,M,1,,,,,,,flt no full,,155685882,,,,,,,,PPD,0,,,29MAY2022:08:09:33.390
TWU,KUL,156351102,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685883,,,,,,,,PPD,0,,,29MAY2022:08:09:33.423
TWU,KUL,156351103,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685884,,,,,,,,PPD,0,,,29MAY2022:08:09:33.437
KUL,SIN,156351104,M,1,,,,,,,,,,,,,,,,,,,,,,,,,155685885,,,,,,,,PPD,0,,,29MAY2022:08:09:33.453
KUL,SIN,156351105,M,1,,,,,,,,,,,,,,,,,,,,,,,,,155685886,,,,,,,,PPD,0,,,29MAY2022:08:09:33.470
TWU,KUL,156351106,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685887,,,,,,,,PPD,0,,,29MAY2022:08:09:33.500
TWU,KUL,156351107,,M,,,,,,,,,4,,TWU-054,,,,,,,,,,,,,,155685888,,,,,,,,PPD,0,,,29MAY2022:08:09:33.517
TWU,KUL,156351108,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685889,,,,,,,,PPD,0,,,29MAY2022:08:09:33.547
TWU,KUL,156351109,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685890,,,,,,,,PPD,0,,,29MAY2022:08:09:33.563
TWU,KUL,156351110,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685891,,,,,,,,PPD,0,,,29MAY2022:08:09:33.593
TWU,KUL,156351111,,M,,,,,,,,,4,,TWU-035,,,,,,,,,,,,,,155685892,,,,,,,,PPD,0,,,29MAY2022:08:09:33.610
KUL,TWU,156351112,,,,,,,,,,,,,,,,,,,,,,,,,,,155685893,,,,,,,,PPD,0,,,29MAY2022:08:09:33.627
TWU,KUL,156351113,,M,,,,,,,,,4,,TWU-115,,,,,,,,,,,,,,155685894,,,,,,,,PPD,0,,,29MAY2022:08:09:33.720
KUL,KUA,156351114,M,,,,,,,,,,4,,KUL-071,,,,,,,,,,,,,,155685895,,,,,,,,PPD,0,,,29MAY2022:08:09:33.750
KUA,KUL,156351115,,,,,,,,,,,,,,,,,,,,,,,,,,,155685896,,,,,,,,PPD,0,,,29MAY2022:08:09:33.877
KUL,TWU,156351116,,,,,,,,,,,,,,,,,,,,,,,,,,,155685897,,,,,,,,PPD,0,,,29MAY2022:08:09:33.983
TWU,KUL,156351117,,M,,,,,,,,,4,,TWU-045,,,,,,,,,,,,,,155685898,,,,,,,,PPD,0,,,29MAY2022:08:09:34.153
KUL,JHB,156351118,M,,,,,,,,,,4,,KUL-033,,,,,,,,,,,,,,155685899,,,,,,,,PPD,0,,,29MAY2022:08:09:34.263
TWU,KUL,156351119,,M,,,,,,,,,4,,TWU-014,,,,,,,,,,,,,,155685900,,,,,,,,PPD,0,,,29MAY2022:08:09:34.340
KUL,JHB,156351120,M,,,,,,,,,,4,,KUL-007,,,,,,,,,,,,,,155685901,,,,,,,,PPD,0,,,29MAY2022:08:09:34.400
TWU,KUL,156351121,,M,,,,,,,,J,4,,TWU-001,,3,,M,1,,,,,,,CONFIRM TKT,,155685902,,,,,,,,PPD,0,,,29MAY2022:08:09:34.480
KUL,TWU,156351122,,,,,,,,,,,,,,,,,,,,,,,,,,,155685903,,,,,,,,PPD,0,,,29MAY2022:08:09:34.557
TWU,KUL,156351123,,M,,,,,,,,,4,,TWU-097,,,,,,,,,,,,,,155685904,,,,,,,,PPD,0,,,29MAY2022:08:09:34.620
KUL,TWU,156351124,,,,,,,,,,,,,,,,,,,,,,,,,,,155685905,,,,,,,,PPD,0,,,29MAY2022:08:09:34.637
TWU,KUL,156351125,,M,,,,,,,,,4,,TWU-098,,,,,,,,,,,,,,155685906,,,,,,,,PPD,0,,,29MAY2022:08:09:34.667
KUL,TWU,156351126,,,,,,,,,,,,,,,,,,,,,,,,,,,155685907,,,,,,,,PPD,0,,,29MAY2022:08:09:34.683
TWU,KUL,156351127,,M,,,,,,,,,4,,TWU-100,,,,,,,,,,,,,,155685908,,,,,,,,PPD,0,,,29MAY2022:08:09:34.713
KUL,TWU,156351128,,,,,,,,,,,,,,,,,,,,,,,,,,,155685909,,,,,,,,PPD,0,,,29MAY2022:08:09:34.730
TWU,KUL,156351129,,M,,,,,,,,,4,,TWU-101,,,,,,,,,,,,,,155685910,,,,,,,,PPD,0,,,29MAY2022:08:09:34.743
KUL,TWU,156351130,,,,,,,,,,,,,,,,,,,,,,,,,,,155685911,,,,,,,,PPD,0,,,29MAY2022:08:09:34.760
TWU,KUL,156351131,,M,,,,,,,,,4,,TWU-102,,,,,,,,,,,,,,155685912,,,,,,,,PPD,0,,,29MAY2022:08:09:34.790
KUL,TWU,156351132,,,,,,,,,,,,,,,,,,,,,,,,,,,155685913,,,,,,,,PPD,0,,,29MAY2022:08:09:34.807
TWU,KUL,156351133,,M,,,,,,,,,4,,TWU-099,,,,,,,,,,,,,,155685914,,,,,,,,PPD,0,,,29MAY2022:08:09:34.840
KUL,TWU,156351134,,,,,,,,,,,,,,,,,,,,,,,,,,,155685915,,,,,,,,PPD,0,,,29MAY2022:08:09:34.853
TWU,KUL,156351135,,M,,,,,,,,,4,,TWU-017,,,,,,,,,,,,,,155685916,,,,,,,,PPD,0,,,29MAY2022:08:09:34.887
KUL,SIN,156351136,M,1,,,,,,,,,4,,KUL-008,,,,,,,,,,,,,,155685917,,,,,,,,PPD,0,,,29MAY2022:08:09:34.917
SIN,KUL,156351137,,,,,,,,,,,,,,,,,,,,,,,,,,,155685918,,,,,,,,PPD,0,,,29MAY2022:08:09:34.933
TWU,KUL,156351138,,M,,,,,,,,,4,,TWU-042,,,,,,,,,,,,,,155685919,,,,,,,,PPD,0,,,29MAY2022:08:09:34.950
KUL,KBR,156351139,M,,,,,,,,,,4,,KUL-044,,,,,,,,,,,,,,155685920,,,,,,,,PPD,0,,,29MAY2022:08:09:34.980
KBR,KUL,156351140,,,,,,,,,,,,,,,,,,,,,,,,,,,155685921,,,,,,,,PPD,0,,,29MAY2022:08:09:34.993
KUL,TWU,156351141,,,,,,,,,,,,,,,,,,,,,,,,,,,155685922,,,,,,,,PPD,0,,,29MAY2022:08:09:35.043
TWU,KUL,156351142,,M,,,,,,,,,4,,TWU-112,,,,,,,,,,,,,,155685923,,,,,,,,PPD,0,,,29MAY2022:08:09:35.107
KUL,KUA,156351143,M,,,,,,,,,,4,,KUL-068,,,,,,,,,,,,,,155685924,,,,,,,,PPD,0,,,29MAY2022:08:09:35.120
KUA,KUL,156351144,,,,,,,,,,,,,,,,,,,,,,,,,,,155685925,,,,,,,,PPD,0,,,29MAY2022:08:09:35.137
KUL,TWU,156351145,,,,,,,,,,,,,,,,,,,,,,,,,,,155685926,,,,,,,,PPD,0,,,29MAY2022:08:09:35.153
TWU,KUL,156351146,,M,,,,,,,,,4,,TWU-113,,,,,,,,,,,,,,155685927,,,,,,,,PPD,0,,,29MAY2022:08:09:35.183
KUL,KUA,156351147,M,,,,,,,,,,4,,KUL-069,,,,,,,,,,,,,,155685928,,,,,,,,PPD,0,,,29MAY2022:08:09:35.200
KUA,KUL,156351148,,,,,,,,,,,,,,,,,,,,,,,,,,,155685929,,,,,,,,PPD,0,,,29MAY2022:08:09:35.217
KUL,TWU,156351149,,,,,,,,,,,,,,,,,,,,,,,,,,,155685930,,,,,,,,PPD,0,,,29MAY2022:08:09:35.260
TWU,KUL,156351150,,M,,,,,,,,,4,,TWU-111,,,,,,,,,,,,,,155685931,,,,,,,,PPD,0,,,29MAY2022:08:09:35.310
KUL,KUA,156351151,M,,,,,,,,,,4,,KUL-067,,,,,,,,,,,,,,155685932,,,,,,,,PPD,0,,,29MAY2022:08:09:35.340
KUA,KUL,156351152,,,,,,,,,,,,,,,,,,,,,,,,,,,155685933,,,,,,,,PPD,0,,,29MAY2022:08:09:35.357
KUL,TWU,156351153,,,,,,,,,,,,,,,,,,,,,,,,,,,155685934,,,,,,,,PPD,0,,,29MAY2022:08:09:35.373
KUL,TWU,156351154,,,,,,,,,,,4,,KUL-041,,,,,,,,,,,,,,155685935,,,,,,,,PPD,0,,,29MAY2022:08:09:35.390
TWU,KUL,156351155,,M,,,,,,,,,4,,TWU-047,,,,,,,,,,,,,,155685936,,,,,,,,PPD,0,,,29MAY2022:08:09:35.403
TWU,KUL,156351156,,M,,,,,,,,,4,,TWU-006,,,,,,,,,,,,,,155685937,,,,,,,,PPD,0,,,29MAY2022:08:09:35.437
KUL,KUA,156351157,M,,,,,,,,,,4,,KUL-004,,,,,,,,,,,,,,155685938,,,,,,,,PPD,0,,,29MAY2022:08:09:35.467
TWU,KUL,156351158,,M,,,,,,,,,4,,TWU-107,,,,,,,,,,,,,,155685939,,,,,,,,PPD,0,,,29MAY2022:08:09:35.500
KUL,SIN,156351159,M,1,,,,,,,,,4,,KUL-064,,,,,,,,,,,,,,155685940,,,,,,,,PPD,0,,,29MAY2022:08:09:35.513
TWU,KUL,156351160,,M,,,,,,,,,4,,TWU-116,,3,,M,1,,,,,,,COM PAX,,155685941,,,,,,,,PPD,0,,,29MAY2022:08:09:35.547
TWU,KUL,156351161,,M,,,,,,,,,4,,TWU-032,,,,,,,,,,,,,,155685942,,,,,,,,PPD,0,,,29MAY2022:08:09:35.560
KUL,TWU,156351162,,,,,,,,,,,,,,,,,,,,,,,,,,,155685943,,,,,,,,PPD,0,,,29MAY2022:08:09:35.577
TWU,KUL,156351163,,M,,,,,,,,,4,,TWU-004,,,,,,,,,,,,,,155685944,,,,,,,,PPD,0,,,29MAY2022:08:09:35.607
KUL,TGG,156351164,M,,,,,,,,,,4,,KUL-002,,,,,,,,,,,,,,155685945,,,,,,,,PPD,0,,,29MAY2022:08:09:35.623
TGG,KUL,156351165,,,,,,,,,,,,,,,,,,,,,,,,,,,155685946,,,,,,,,PPD,0,,,29MAY2022:08:09:35.640
KUL,TWU,156351166,,,,,,,,,,,,,,,,,,,,,,,,,,,155685947,,,,,,,,PPD,0,,,29MAY2022:08:09:35.653
TWU,KUL,156351167,,M,,,,,,,,,4,,TWU-036,,,,,,,,,,,,,,155685948,,,,,,,,PPD,0,,,29MAY2022:08:09:35.687
KUL,TWU,156351168,,,,,,,,,,,,,,,,,,,,,,,,,,,155685949,,,,,,,,PPD,0,,,29MAY2022:08:09:35.700
TWU,KUL,156351169,,M,,,,,,,,,4,,TWU-123,,,,,,,,,,,,,,155685950,,,,,,,,PPD,0,,,29MAY2022:08:09:35.733
KUL,PEN,156351170,M,,,,,,,,,,4,,KUL-075,,,,,,,,,,,,,,155685951,,,,,,,,PPD,0,,,29MAY2022:08:09:35.750
PEN,KUL,156351171,,,,,,,,,,,,,,,,,,,,,,,,,,,155685952,,,,,,,,PPD,0,,,29MAY2022:08:09:35.763
KUL,TWU,156351172,,,,,,,,,,,,,,,,,,,,,,,,,,,155685953,,,,,,,,PPD,0,,,29MAY2022:08:09:35.780
TWU,KUL,156351173,,M,,,,,,,,,4,,TWU-122,,,,,,,,,,,,,,155685954,,,,,,,,PPD,0,,,29MAY2022:08:09:35.810
KUL,PEN,156351174,M,,,,,,,,,,4,,KUL-074,,,,,,,,,,,,,,155685955,,,,,,,,PPD,0,,,29MAY2022:08:09:35.843
PEN,KUL,156351175,,,,,,,,,,,,,,,,,,,,,,,,,,,155685956,,,,,,,,PPD,0,,,29MAY2022:08:09:35.857
KUL,TWU,156351176,,,,,,,,,,,,,,,,,,,,,,,,,,,155685957,,,,,,,,PPD,0,,,29MAY2022:08:09:35.873
TWU,KUL,156351177,,M,,,,,,,,,4,,TWU-124,,,,,,,,,,,,,,155685958,,,,,,,,PPD,0,,,29MAY2022:08:09:35.903
KUL,PEN,156351178,M,,,,,,,,,,4,,KUL-076,,,,,,,,,,,,,,155685959,,,,,,,,PPD,0,,,29MAY2022:08:09:35.920
PEN,KUL,156351179,,,,,,,,,,,,,,,,,,,,,,,,,,,155685960,,,,,,,,PPD,0,,,29MAY2022:08:09:35.937
KUL,TWU,156351180,,,,,,,,,,,,,,,,,,,,,,,,,,,155685961,,,,,,,,PPD,0,,,29MAY2022:08:09:35.950
TWU,KUL,156351181,,M,,,,,,,,,4,,TWU-077,,,,,,,,,,,,,,155685962,,,,,,,,PPD,0,,,29MAY2022:08:09:35.983
KUL,TWU,156351182,,,,,,,,,,,4,,KUL-013,,,,,,,,,,,,,,155685963,,,,,,,,PPD,0,,,29MAY2022:08:09:36.000
TWU,KUL,156351183,,M,,,,,,,,,4,,TWU-041,,,,,,,,,,,,,,155685964,,,,,,,,PPD,0,,,29MAY2022:08:09:36.060
KUL,TWU,156351184,,,,,,,,,,,4,,KUL-012,,,,,,,,,,,,,,155685965,,,,,,,,PPD,0,,,29MAY2022:08:09:36.093
TWU,KUL,156351185,,M,,,,,,,,,4,,TWU-039,,,,,,,,,,,,,,155685966,,,,,,,,PPD,0,,,29MAY2022:08:09:36.123
TWU,KUL,156351186,,M,,,,,,,,,4,,TWU-056,,,,,,,,,,,,,,155685967,,,,,,,,PPD,0,,,29MAY2022:08:09:36.140
KUL,JHB,156351187,M,,,,,,,,,,4,,KUL-036,,,,,,,,,,,,,,155685968,,,,,,,,PPD,0,,,29MAY2022:08:09:36.170
TWU,KUL,156351188,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685969,,,,,,,,PPD,0,,,29MAY2022:08:09:36.187
KUL,SIN,156351189,M,1,,,,,,,,,,,,,,,,,,,,,,,,,155685970,,,,,,,,PPD,0,,,29MAY2022:08:09:36.200
TWU,KUL,156351190,,M,,,,,,,,,4,,TWU-055,,,,,,,,,,,,,,155685971,,,,,,,,PPD,0,,,29MAY2022:08:09:36.217
TWU,KUL,156351191,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685972,,,,,,,,PPD,0,,,29MAY2022:08:09:36.233
KUL,KUA,156351192,M,,,,,,,,,,,,,,,,,,,,,,,,,,155685973,,,,,,,,PPD,0,,,29MAY2022:08:09:36.250
TWU,KUL,156351193,,M,,,,,,,,,4,,TWU-126,,,,,,,,,,,,,,155685974,,,,,,,,PPD,0,,,29MAY2022:08:09:36.280
KUL,PEN,156351194,M,,,,,,,,,,4,,KUL-078,,,,,,,,,,,,,,155685975,,,,,,,,PPD,0,,,29MAY2022:08:09:36.297
PEN,KUL,156351195,,,,,,,,,,,,,,,,,,,,,,,,,,,155685976,,,,,,,,PPD,0,,,29MAY2022:08:09:36.310
KUL,TWU,156351196,,,,,,,,,,,,,,,,,,,,,,,,,,,155685977,,,,,,,,PPD,0,,,29MAY2022:08:09:36.343
TWU,KUL,156351197,,M,,,,,,,,J,4,,TWU-002,,3,,M,1,,,,,,,CONFIRM,,155685978,,,,,,,,PPD,0,,,29MAY2022:08:09:36.357
KUL,TWU,156351198,,,,,,,,,,,,,,,,,,,,,,,,,,,155685979,,,,,,,,PPD,0,,,29MAY2022:08:09:36.390
TWU,KUL,156351199,,M,,,,,,,,,4,,TWU-133,,,,,,,,,,,,,,155685980,,,,,,,,PPD,0,,,29MAY2022:08:09:36.403
KUL,KUA,156351200,M,,,,,,,,,,4,,KUL-082,,,,,,,,,,,,,,155685981,,,,,,,,PPD,0,,,29MAY2022:08:09:36.483
KUA,KUL,156351201,,,,,,,,,,,,,,,,,,,,,,,,,,,155685982,,,,,,,,PPD,0,,,29MAY2022:08:09:36.500
KUL,TWU,156351202,,,,,,,,,,,,,,,,,,,,,,,,,,,155685983,,,,,,,,PPD,0,,,29MAY2022:08:09:36.513
TWU,KUL,156351203,,M,,,,,,,,,4,,TWU-132,,,,,,,,,,,,,,155685984,,,,,,,,PPD,0,,,29MAY2022:08:09:36.547
KUL,KUA,156351204,M,,,,,,,,,,4,,KUL-081,,,,,,,,,,,,,,155685985,,,,,,,,PPD,0,,,29MAY2022:08:09:36.560
KUA,KUL,156351205,,,,,,,,,,,,,,,,,,,,,,,,,,,155685986,,,,,,,,PPD,0,,,29MAY2022:08:09:36.577
KUL,TWU,156351206,,,,,,,,,,,,,,,,,,,,,,,,,,,155685987,,,,,,,,PPD,0,,,29MAY2022:08:09:36.593
TWU,KUL,156351207,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685988,,,,,,,,PPD,0,,,29MAY2022:08:09:36.623
KUL,KBR,156351208,M,,,,,,,,,,,,,,,,,,,,,,,,,,155685989,,,,,,,,PPD,0,,,29MAY2022:08:09:36.623
TWU,KUL,156351209,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685990,,,,,,,,PPD,0,,,29MAY2022:08:09:36.640
KUL,KBR,156351210,M,,,,,,,,,,,,,,,,,,,,,,,,,,155685991,,,,,,,,PPD,0,,,29MAY2022:08:09:36.653
KBR,KUL,156351211,,,,,,,,,,,,,,,,,,,,,,,,,,,155685992,,,,,,,,PPD,0,,,29MAY2022:08:09:36.670
KBR,KUL,156351212,,,,,,,,,,,,,,,,,,,,,,,,,,,155685993,,,,,,,,PPD,0,,,29MAY2022:08:09:36.687
KUL,TWU,156351213,,,,,,,,,,,,,,,,,,,,,,,,,,,155685994,,,,,,,,PPD,0,,,29MAY2022:08:09:36.700
KUL,TWU,156351214,,,,,,,,,,,,,,,,,,,,,,,,,,,155685995,,,,,,,,PPD,0,,,29MAY2022:08:09:36.717
TWU,KUL,156351215,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685996,,,,,,,,PPD,0,,,29MAY2022:08:09:36.733
KUL,KBR,156351216,M,,,,,,,,,,,,,,,,,,,,,,,,,,155685997,,,,,,,,PPD,0,,,29MAY2022:08:09:36.750
TWU,KUL,156351217,,M,,,,,,,,,,,,,,,,,,,,,,,,,155685998,,,,,,,,PPD,0,,,29MAY2022:08:09:36.763
KUL,KBR,156351218,M,,,,,,,,,,,,,,,,,,,,,,,,,,155685999,,,,,,,,PPD,0,,,29MAY2022:08:09:36.780
KBR,KUL,156351219,,,,,,,,,,,,,,,,,,,,,,,,,,,155686000,,,,,,,,PPD,0,,,29MAY2022:08:09:36.797
KBR,KUL,156351220,,,,,,,,,,,,,,,,,,,,,,,,,,,155686001,,,,,,,,PPD,0,,,29MAY2022:08:09:36.810
KUL,TWU,156351221,,,,,,,,,,,,,,,,,,,,,,,,,,,155686002,,,,,,,,PPD,0,,,29MAY2022:08:09:36.810
KUL,TWU,156351222,,,,,,,,,,,,,,,,,,,,,,,,,,,155686003,,,,,,,,PPD,0,,,29MAY2022:08:09:36.827
TWU,KUL,156351223,,M,,,,,,,,,,,,,,,,,,,,,,,,,155686004,,,,,,,,PPD,0,,,29MAY2022:08:09:36.843
KUL,KBR,156351224,M,,,,,,,,,,,,,,,,,,,,,,,,,,155686005,,,,,,,,PPD,0,,,29MAY2022:08:09:36.857
TWU,KUL,156351225,,M,,,,,,,,,,,,,,,,,,,,,,,,,155686006,,,,,,,,PPD,0,,,29MAY2022:08:09:36.890
KUL,KBR,156351226,M,,,,,,,,,,,,,,,,,,,,,,,,,,155686007,,,,,,,,PPD,0,,,29MAY2022:08:09:36.890
KBR,KUL,156351227,,,,,,,,,,,,,,,,,,,,,,,,,,,155686008,,,,,,,,PPD,0,,,29MAY2022:08:09:36.903
KBR,KUL,156351228,,,,,,,,,,,,,,,,,,,,,,,,,,,155686009,,,,,,,,PPD,0,,,29MAY2022:08:09:36.920
KUL,TWU,156351229,,,,,,,,,,,,,,,,,,,,,,,,,,,155686010,,,,,,,,PPD,0,,,29MAY2022:08:09:36.937
KUL,TWU,156351230,,,,,,,,,,,,,,,,,,,,,,,,,,,155686011,,,,,,,,PPD,0,,,29MAY2022:08:09:36.950
TWU,KUL,156351231,,M,,,,,,,,,,,,,,,,,,,,,,,,,155686012,,,,,,,,PPD,0,,,29MAY2022:08:09:36.967
TWU,KUL,156351232,,M,,,,,,,,,4,,TWU-075,,,,,,,,,,,,,,155686013,,,,,,,,PPD,0,,,29MAY2022:08:09:37.000
KUL,KBR,156351233,M,,,,,,,,,,4,,KUL-085,,,,,,,,,,,,,,155686014,,,,,,,,PPD,0,,,29MAY2022:08:09:37.013
KBR,KUL,156351234,,,,,,,,,,,,,,,,,,,,,,,,,,,155686015,,,,,,,,PPD,0,,,29MAY2022:08:09:37.030
KUL,TWU,156351235,,,,,,,,,,,,,,,,,,,,,,,,,,,155686016,,,,,,,,PPD,0,,,29MAY2022:08:09:37.047
TWU,KUL,156351236,,M,,,,,,,,,4,,TWU-076,,,,,,,,,,,,,,155686017,,,,,,,,PPD,0,,,29MAY2022:08:09:37.090
KUL,KBR,156351237,M,,,,,,,,,,4,,KUL-086,,,,,,,,,,,,,,155686018,,,,,,,,PPD,0,,,29MAY2022:08:09:37.107
KBR,KUL,156351238,,,,,,,,,,,,,,,,,,,,,,,,,,,155686019,,,,,,,,PPD,0,,,29MAY2022:08:09:37.123
KUL,TWU,156351239,,,,,,,,,,,,,,,,,,,,,,,,,,,155686020,,,,,,,,PPD,0,,,29MAY2022:08:09:37.140
TWU,KUL,156351240,,M,,,,,,,,,4,,TWU-028,,3,,M,1,,,,,,,TKT STAFF,,155686021,,,,,,,,PPD,0,,,29MAY2022:08:09:37.170
TWU,KUL,156351241,,M,,,,,,,,,4,,TWU-020,,,,,,,,,,,,,,155686022,,,,,,,,PPD,0,,,29MAY2022:08:09:37.183
KUL,SBW,156351242,M,,,,,,,,,,4,,KUL-026,,,,,,,,,,,,,,155686023,,,,,,,,PPD,0,,,29MAY2022:08:09:37.217
SBW,KUL,156351243,,,,,,,,,,,,,,,,,,,,,,,,,,,155686024,,,,,,,,PPD,0,,,29MAY2022:08:09:37.230
KUL,TWU,156351244,,,,,,,,,,,,,,,,,,,,,,,,,,,155686025,,,,,,,,PPD,0,,,29MAY2022:08:09:37.247
TWU,KUL,156351245,,M,,,,,,,,,,,,,3,,M,1,,,,,,,NOSHOW BY ONLOAD PROCESS,,155686026,,,,,,,,PPD,0,,,29MAY2022:08:09:37.263
KUL,BTU,156351246,M,,,,,,,,,,,,,,,,,,,,,,,,,,155686027,,,,,,,,PPD,0,,,29MAY2022:08:09:37.280
BTU,KUL,156351247,,,,,,,,,,,,,,,,,,,,,,,,,,,155686028,,,,,,,,PPD,0,,,29MAY2022:08:09:37.293
KUL,TWU,156351248,,,,,,,,,,,,,,,,,,,,,,,,,,,155686029,,,,,,,,PPD,0,,,29MAY2022:08:09:37.317
TWU,KUL,156351249,,M,,,,,,,,,4,,TWU-007,,,,,,,,,,,,,,155686030,,,,,,,,PPD,0,,,29MAY2022:08:09:37.340
KUL,TWU,156351250,,,,,,,,,,,,,,,,,,,,,,,,,,,155686031,,,,,,,,PPD,0,,,29MAY2022:08:09:37.357
KUL,TWU,156351251,,,,,,,,,,,4,,KUL-087,,,,,,,,,,,,,,155686032,,,,,,,,PPD,0,,,29MAY2022:08:09:37.387
TWU,KUL,156351252,,M,,,,,,,,,4,,TWU-078,,,,,,,,,,,,,,155686033,,,,,,,,PPD,0,,,29MAY2022:08:09:37.403
TWU,KUL,156351253,,M,,,,,,,,,4,,TWU-009,,,,,,,,,,,,,,155686034,,,,,,,,PPD,0,,,29MAY2022:08:09:37.433
KUL,TWU,156351254,,,,,,,,,,,,,,,,,,,,,,,,,,,155686035,,,,,,,,PPD,0,,,29MAY2022:08:09:37.450
TWU,KUL,156351255,,M,,,,,,,,,4,,TWU-011,,,,,,,,,,,,,,155686036,,,,,,,,PPD,0,,,29MAY2022:08:09:37.480
KUL,TWU,156351256,,,,,,,,,,,,,,,,,,,,,,,,,,,155686037,,,,,,,,PPD,0,,,29MAY2022:08:09:37.497
TWU,KUL,156351257,,M,,,,,,,,,4,,TWU-010,,,,,,,,,,,,,,155686038,,,,,,,,PPD,0,,,29MAY2022:08:09:37.527
KUL,TWU,156351258,,,,,,,,,,,,,,,,,,,,,,,,,,,155686039,,,,,,,,PPD,0,,,29MAY2022:08:09:37.543
TWU,KUL,156351259,,M,,,,,,,,,4,,TWU-035,,,,,,,,,,,,,,155686040,,,,,,,,PPD,0,,,29MAY2022:08:09:37.560
TWU,KUL,156351260,,M,,,,,,,,,,,,,,,,,,,,,,,,,155686041,,,,,,,,PPD,0,,,29MAY2022:08:09:37.590
TWU,KUL,156351261,,M,,,,,,,,,,,,,,,,,,,,,,,,,155686042,,,,,,,,PPD,0,,,29MAY2022:08:09:37.607
KUL,TWU,156351262,,,,,,,,,,,,,,,,,,,,,,,,,,,155686043,,,,,,,,PPD,0,,,29MAY2022:08:09:37.620
TWU,KUL,156351263,,M,,,,,,,,,4,,TWU-027,,3,,M,1,,,,,,,TKT STAFF,,155686044,,,,,,,,PPD,0,,,29MAY2022:08:09:37.637
TWU,KUL,156351264,,M,,,,,,,,,4,,TWU-030,,3,,M,1,,,,,,,TKT STAFF,,155686045,,,,,,,,PPD,0,,,29MAY2022:08:09:37.670
KUA,KUL,156351265,,,,,,,,,,,4,,KUA-109,,,,,,,,,,,,,,155686046,,,,,,,,PPD,0,,,29MAY2022:08:09:37.700
KUL,TWU,156351266,,,,,,,,,,,4,,KUL-041,,,,,,,,,,,,,,155686047,,,,,,,,PPD,0,,,29MAY2022:08:09:37.717
TWU,KUL,156351267,,M,,,,,,,,,4,,TWU-119,,,,,,,,,,,,,,155686048,,,,,,,,PPD,0,,,29MAY2022:08:09:37.730
KUL,KUA,156351268,M,,,,,,,,,,4,,KUL-074,,,,,,,,,,,,,,155686049,,,,,,,,PPD,0,,,29MAY2022:08:09:37.763
TWU,KUL,156351269,,M,,,,,,,,,4,,TWU-029,,3,,M,1,,,,,,,TKT STAFF,,155686050,,,,,,,,PPD,0,,,29MAY2022:08:09:37.777
TWU,KUL,156351270,,M,,,,,,,,,,,,,,,,,,,,,,,,,155686051,,,,,,,,PPD,0,,,29MAY2022:08:09:37.810
TWU,KUL,156351271,,M,,,,,,,,,,,,,,,,,,,,,,,,,155686052,,,,,,,,PPD,0,,,29MAY2022:08:09:37.823
