CPR_ORIGIN,CPR_DESTINATION,ID_LEGLEVEL_LEGROUTING,CPR_IDENTITERMINAL,CPR_LOCIDENTERMINAL,CPR_TRANSSTAGEQUALIFIER,CPR_AIRLINEDESIGNATOR,CPR_FLIGHTNUMBER,CPR_OPERSUFFIX,CPR_UNIQUEREFERENCE,CPR_ATTRIBUTETYPE,CPR_ATTRIDESCRIPTION,CPR_CLASSDESIGNATOR,CPR_TYPE1,CPR_TYPE2,CPR_VALUE1,CPR_VALUE2,CPR_TEXTSUBQUALIFIER,CPR_CODEDLANGUAGE,CPR_CODEDSOURCE,CPR_ENCODING,CPR_TEXTFREETEXT,CPR_ACTIONREQCODE,CPR_TEXTSEMANTIC,CPR_TEXTLANGUAGE,CPR_TEXTSOURCE,CPR_TEXTENCODING,CPR_FREETEXT,CPR_CLSOFSERVICE,ID_PRODUCTLEVEL,CPR_COACHNUMBER,CPR_TEXTSUBQUALIFIER1,CPR_INFORMATIONTYPE1,CPR_CODEDLANGUAGE1,CPR_CODEDSOURCE1,CPR_ENCODING1,CPR_FREETEXT1,CPR_CODEDINDICATOR,CPR_CODEDACTION,CPR_CODEDSTATUSREASON,CPR_SEATNUMBER,DWH_SNAPSHOTTIMESTAMP
KUL,BKI,156346162,M,1,,,,,,,,,,,,,,,,,,,,,,,,,155680939,,,,,,,,PPD,0,,,29MAY2022:06:58:01.247
BKI,KUL,156346163,,,,,,,,,,,,,,,,,,,,,,,,,,,155680940,,,,,,,,PPD,0,,,29MAY2022:06:58:01.357
KUL,BKI,156346164,,,,,,,,,,,,,,,,,,,,,,,,,,,155680941,,,,,,,,PPD,0,,,29MAY2022:06:58:01.480
BKI,KUL,156346165,1,M,,,,,,,,,4,,BKI-043,,,,,,,,,,,,,,155680942,,,,,,,,PPD,0,,,29MAY2022:06:58:01.637
KUL,BKI,156346166,,,,,,,,,,,,,,,,,,,,,,,,,,,155680943,,,,,,,,PPD,0,,,29MAY2022:06:58:01.733
BKI,KUL,156346167,1,M,,,,,,,,,4,,BKI-048,,,,,,,,,,,,,,155680944,,,,,,,,PPD,0,,,29MAY2022:06:58:01.937
KUL,BKI,156346168,,,,,,,,,,,,,,,,,,,,,,,,,,,155680945,,,,,,,,PPD,0,,,29MAY2022:06:58:02.060
BKI,KUL,156346169,1,M,,,,,,,,,4,,BKI-045,,,,,,,,,,,,,,155680946,,,,,,,,PPD,0,,,29MAY2022:06:58:02.233
KUL,BKI,156346170,,,,,,,,,,,,,,,,,,,,,,,,,,,155680947,,,,,,,,PPD,0,,,29MAY2022:06:58:02.360
BKI,KUL,156346171,1,M,,,,,,,,,4,,BKI-046,,,,,,,,,,,,,,155680948,,,,,,,,PPD,0,,,29MAY2022:06:58:02.547
KUL,BKI,156346172,,,,,,,,,,,,,,,,,,,,,,,,,,,155680949,,,,,,,,PPD,0,,,29MAY2022:06:58:02.670
BKI,KUL,156346173,1,M,,,,,,,,,4,,BKI-047,,,,,,,,,,,,,,155680950,,,,,,,,PPD,0,,,29MAY2022:06:58:02.810
KUL,BKI,156346174,,,,,,,,,,,,,,,,,,,,,,,,,,,155680951,,,,,,,,PPD,0,,,29MAY2022:06:58:02.937
BKI,KUL,156346175,1,M,,,,,,,,,,,,,,,,,,,,,,,,,155680952,,,,,,,,PPD,0,,,29MAY2022:06:58:03.077
KUL,BKI,156346176,,,,,,,,,,,,,,,,,,,,,,,,,,,155680953,,,,,,,,PPD,0,,,29MAY2022:06:58:03.187
BKI,KUL,156346177,,,,,,,,,,,,,,,,,,,,,,,,,,,155680954,,,,,,,,PPD,0,,,29MAY2022:06:58:03.297
KUL,BKI,156346178,,,,,,,,,,,,,,,,,,,,,,,,,,,155680955,,,,,,,,PPD,0,,,29MAY2022:06:58:03.407
BKI,KUL,156346179,1,M,,,,,,,,,4,,BKI-003,,,,,,,,,,,,,,155680956,,,,,,,,PPD,0,,,29MAY2022:06:58:03.607
KUL,BKI,156346180,,,,,,,,,,,,,,,,,,,,,,,,,,,155680957,,,,,,,,PPD,0,,,29MAY2022:06:58:03.730
BKI,KUL,156346181,1,M,,,,,,,,,4,,BKI-034,,,,,,,,,,,,,,155680958,,,,,,,,PPD,0,,,29MAY2022:06:58:03.917
BKI,KUL,156346182,1,M,,,,,,,,,4,,BKI-153,,,,,,,,,,,,,,155680959,,,,,,,,PPD,0,,,29MAY2022:06:58:03.993
KUL,BKI,156346183,,,,,,,,,,,,,,,,,,,,,,,,,,,155680960,,,,,,,,PPD,0,,,29MAY2022:06:58:04.120
BKI,KUL,156346184,1,M,,,,,,,,,4,,BKI-066,,,,,,,,,,,,,,155680961,,,,,,,,PPD,0,,,29MAY2022:06:58:04.323
