CPR_CARRIERID,CPR_NUMBER,CPR_STATUS,CPR_TIERLEVEL,CPR_PRIORITYCODE,ID_CUSTFQTVINFO,ID_CUSTOMERLEVEL,CCP_SSRCODE,CPR_REFQUALIFIER,CPR_PRIMEID,CPR_COMPANYID,DWH_SNAPSHOTTIMESTAMP
MH,316998905,OK,BLUE,,8263875,54145824,FQTV,,,MH,29MAY2022:09:46:35.770
MH,310094315,OK,BLUE,,8263876,54145825,FQTV,,,MH,29MAY2022:09:46:35.817
MH,328242493,OK,BLUE,,8263877,54145831,FQTV,,,MH,29MAY2022:09:46:36.957
MH,334867256,OK,BLUE,,8263878,54145834,FQTV,,,MH,29MAY2022:09:46:37.050
MH,335201123,OK,BLUE,,8263879,54145841,FQTV,,,MH,29MAY2022:09:46:37.517
MH,311895780,OK,BLUE,,8263880,54145851,FQTV,,,MH,29MAY2022:09:46:37.910
MH,308556216,OK,SLVR,RUBY,8263881,54145854,FQTV,,,MH,29MAY2022:09:46:38.063
MH,67451414,OK,BLUE,,8263882,54145856,FQTV,UCI,200500880008CFEE,MH,29MAY2022:09:46:38.240
MH,67451414,OK,BLUE,,8263883,54145856,FQTV,UCI,200510880008D213,MH,29MAY2022:09:46:38.240
MH,13140595,OK,GOLD,SAPH,8263884,54145879,FQTV,,,MH,29MAY2022:09:46:40.470
MH,333296261,OK,BLUE,,8263885,54145884,FQTV,,,MH,29MAY2022:09:48:38.040
MH,335261312,OK,BLUE,,8263886,54145886,FQTV,,,MH,29MAY2022:09:48:38.163
MH,321500480,OK,BLUE,,8263887,54145899,FQTV,,,MH,29MAY2022:09:48:38.683
MH,325059011,OK,BLUE,,8263888,54145900,FQTV,,,MH,29MAY2022:09:48:38.747
MH,334079911,OK,BLUE,,8263889,54145901,FQTV,,,MH,29MAY2022:09:48:38.763
MH,301495504,OK,BLUE,,8263890,54145914,FQTV,,,MH,29MAY2022:09:48:39.843
MH,310907483,OK,BLUE,,8263891,54145929,FQTV,,,MH,29MAY2022:09:48:40.423
MH,322626076,OK,SLVR,RUBY,8263892,54145942,FQTV,,,MH,29MAY2022:09:50:19.517
MH,82597896,OK,BLUE,,8263893,54145943,FQTV,,,MH,29MAY2022:09:50:19.550
MH,311073346,OK,BLUE,,8263894,54145946,FQTV,,,MH,29MAY2022:09:50:19.627
MH,60532264,OK,PLAT,EMER,8263895,54145951,FQTV,,,MH,29MAY2022:09:50:19.830
MH,60780753,OK,GOLD,SAPH,8263896,54145957,FQTV,,,MH,29MAY2022:09:50:20.047
IB,91670869,OK,8,,8263897,54145961,FQTV,,,MH,29MAY2022:09:50:20.157
MH,333757222,OK,BLUE,,8263898,54145977,FQTV,,,MH,29MAY2022:09:50:20.750
MH,323710741,OK,BLUE,,8263899,54145987,FQTV,,,MH,29MAY2022:09:50:21.063
MH,326923461,OK,BLUE,,8263900,54146009,FQTV,,,MH,29MAY2022:09:50:21.987
MH,333479602,OK,BLUE,,8263901,54146015,FQTV,,,MH,29MAY2022:09:50:22.220
MH,335518422,OK,BLUE,,8263902,54146027,FQTV,,,MH,29MAY2022:09:53:12.823
MH,332841095,OK,BLUE,,8263903,54146028,FQTV,,,MH,29MAY2022:09:53:13.040
MH,326676593,OK,BLUE,,8263904,54146033,FQTV,,,MH,29MAY2022:09:53:14.557
MH,31500674,OK,SLVR,RUBY,8263905,54146042,FQTV,,,MH,29MAY2022:09:53:17.290
MH,333815893,OK,BLUE,,8263906,54146048,FQTV,,,MH,29MAY2022:09:53:19.087
MH,332822792,OK,BLUE,,8263907,54146081,FQTV,,,MH,29MAY2022:09:57:35.933
